C1,C2,C3,C4,C5,time
-6.635811117690003,-6.902238194226828,-6.7528885420172875,-7.000000000000002,-6.65165401191785,10
-6.515853272408677,-6.752561090176674,-6.6030706270528166,-6.8119017752660005,-6.461758060260891,11
-6.350911235146853,-6.546755072107715,-6.397070993976669,-6.553266716256751,-6.200651126732568,12
-6.152231053899656,-6.29885236852465,-6.148935072316764,-6.241729031541062,-5.886135956800721,13
-5.931058776662209,-6.022885207932183,-5.872708291601022,-5.8949229296877474,-5.5360152959331925,14
-5.69864045142964,-5.732885818835016,-5.5824360813573595,-5.530482619265621,-5.168091889597822,15
-5.466222126197069,-5.442886429737848,-5.292163871113696,-5.166042308843495,-4.800168483262451,16
-5.245049848959623,-5.166919269145381,-5.015937090397954,-4.81923620699018,-4.450047822394921,17
-5.046369667712427,-4.919016565562317,-4.767801168738049,-4.5076985222744925,-4.135532652463071,18
-4.8814276304506015,-4.713210547493357,-4.5618015356619015,-4.249063463265242,-3.874425718934743,19
-4.761469785169275,-4.563533443443202,-4.41198362069743,-4.0609652385312405,-3.6845297672777773,20
-4.675720477289814,-4.454358039065518,-4.30272507371677,-3.9236818461866765,-3.545913773463794,21
-4.6052626622739945,-4.360172218510778,-4.208481315878066,-3.805076037277291,-3.426116928753844,22
-4.549130303177547,-4.280180858028895,-4.128414433638238,-3.7041591497692323,-3.3241473015499134,23
-4.506357363056207,-4.21358883386978,-4.0616865134542115,-3.6199425216286465,-3.2390129602539885,24
-4.475977804965706,-4.159601022283348,-4.007459641782913,-3.551437490821683,-3.1697219732680573,25
-4.457025591961776,-4.117422299519507,-3.9648959050812653,-3.497655395314486,-3.1152824089941045,26
-4.448534687100155,-4.086257541828175,-3.9331573898061936,-3.4576075730732048,-3.074702335834119,27
-4.449539053436571,-4.065311625459261,-3.911406182414622,-3.430305362063986,-3.0469898221900857,28
-4.45907265402676,-4.053789426662677,-3.898804369363475,-3.414760100252977,-3.0311529364639913,29
-4.476169451926453,-4.0508958216883375,-3.894514037109678,-3.409983125606325,-3.026199747057823,30
-4.499863410191385,-4.055835686786154,-3.8976972721101544,-3.4149857760901763,-3.031138322373567,31
-4.529188491877287,-4.067813898206038,-3.907516160821829,-3.4287793896706797,-3.044976730813209,32
-4.563178660039896,-4.086035332197904,-3.923132789701628,-3.4503753043139826,-3.0667230407787383,33
-4.600867877734941,-4.109704865011663,-3.943709245206473,-3.478784857986231,-3.0953853206721393,34
-4.641290108018157,-4.138027372897226,-3.968407613793291,-3.513019388653572,-3.129971638895399,35
