C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,time
-4.591176442539843,-5.078494270796502,-4.93646788237148,-4.6850250827121735,-4.631426164032243,-3.6509944940228087,-4.3425763277615355,-4.9079853448741035,-3.1743823163641745,-5.260260607494548,-5.165906247757922,-4.159135973296126,-5.2328279162326465,-4.498144903572161,-4.46705502334493,-3.514523712058483,-4.27266510522777,20
-4.587495435887928,-5.246526406184895,-4.631929916364672,-4.924965125525239,-4.725697436814784,-3.729042332393771,-4.438659444091851,-5.132024768851943,-3.0632088614333535,-5.440911997365781,-4.888647520682652,-4.063485298094827,-4.956153852300171,-4.62087017304474,-4.423306739428145,-3.585620224924183,-4.227532215876633,21
-4.5841734246877035,-5.394499533600579,-4.359716378912289,-5.140733997863283,-4.811666808759618,-3.7987213232740835,-4.526514003055423,-5.331808859529726,-2.963163500250075,-5.605055511419769,-4.640757781690235,-3.9780872399731946,-4.7096959051258525,-4.729950146960925,-4.384037794956276,-3.649093839160591,-4.187909866448434,22
-4.581210408939171,-5.522413653043556,-4.1198272700143335,-5.332331699726305,-4.8893342798667465,-3.8600314666637483,-4.60614000465225,-5.507337616907454,-2.8742462328143397,-5.752691149656514,-4.42223703078067,-3.9029417989312294,-4.493454074709692,-4.825384825320713,-4.349248189929326,-3.704944554767707,-4.1537980569431765,23
-4.578606388642329,-5.630268764513825,-3.9122625896708003,-5.4997582311143045,-4.958699850136169,-3.9129727625627635,-4.677537448882333,-5.658611040985124,-2.796457059126147,-5.883818912076016,-4.233085267953956,-3.8380489749689306,-4.307428361051685,-4.907174208124105,-4.31893792434729,-3.7531723717455305,-4.125196787360858,24
-4.576361363797178,-5.7180648680113855,-3.7370223378816902,-5.643013592027283,-5.019763519567885,-3.9575452109711313,-4.740706335745671,-5.7856291317627395,-2.729795979185496,-5.998438798678275,-4.073302493210093,-3.783408768086298,-4.151618764151836,-4.9753182953711015,-4.293106998210173,-3.793777290094063,-4.102106057701478,25
-4.574475334403719,-5.7858019635362385,-3.594106514647004,-5.762097782465242,-5.072525288161895,-3.9937488118888496,-4.795646665242265,-5.888391889240297,-2.674262992992389,-6.096550809463291,-3.9428887065490823,-3.7390211782833305,-4.026025284010142,-5.029817087061701,-4.271755411517973,-3.8267593098133035,-4.084525867965039,26
-4.57294830046195,-5.833480051088387,-3.483515119966738,-5.857010802428178,-5.1169851559182,-4.021583565315919,-4.842358437372115,-5.966899313417798,-2.6298581005468242,-6.178154944431064,-3.841843907970924,-3.704886205560029,-3.9306479206266065,-5.0706705831959065,-4.254883164270689,-3.8521184309032526,-4.0724562181515385,27
-4.571780261971872,-5.861099130667826,-3.4052481538408923,-5.927752651916092,-5.1531431228367985,-4.04104947125234,-4.880841652135221,-6.0211514042952405,-2.596581301848802,-6.243251203581592,-3.770168097475617,-3.681003849916394,-3.8654866740012275,-5.097878783773715,-4.242490256468322,-3.869854653363909,-4.065897108260978,28
-4.570971218933487,-5.868659202274562,-3.3593056162694657,-5.9743233309289865,-5.180999188917692,-4.0521465296981125,-4.911096309531582,-6.051148161872628,-2.574432596898323,-6.29183958691488,-3.727861275063162,-3.6673741113524243,-3.8305415441340056,-5.111441688795129,-4.234576688110872,-3.8799679771952738,-4.064848538293357,29
-4.570521171346792,-5.85616026590859,-3.3456875072524563,-5.996722839466859,-5.2005533541608795,-4.054874740653236,-4.933122409561199,-6.056889586149956,-2.5634119856953865,-6.323920094430923,-3.714923440733558,-3.6639969898681195,-3.825812531024941,-5.111359298260147,-4.231142459198338,-3.8824584023973467,-4.069310508248676,30
-4.575657677123046,-5.811705070948357,-3.396141927284388,-5.979996792380287,-5.208579870418848,-4.039307554241669,-4.944766827879661,-6.022162719242545,-2.5675591062009855,-6.3362871950463235,-3.7595771207446864,-3.6820221366187966,-3.8810042028911016,-5.088084026757474,-4.238086340010899,-3.8680706855847076,-4.086553195393139,31
-4.589284935101835,-5.728684033715218,-3.528306709973331,-5.915837197919591,-5.203286655387423,-3.99993022053228,-4.944833384295629,-5.937960362325571,-2.5891182017267815,-6.327160038159192,-3.8775014963509236,-3.7276438022462988,-4.012619097630857,-5.036311660169726,-4.2586854251486495,-3.8316630248765673,-4.120615587096861,32
