C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,time
-4.266987569524482,-4.127728783121533,-5.220943990197471,-4.301847637803328,-4.095119152528894,-4.0577843476944855,-4.908430996548102,-5.18617853393719,-4.319184044574397,-4.0823894671589365,-3.8452055847413824,-4.264422904381691,-4.294203314687438,-3.8636285397427588,-3.9018346045775063,-4.120150456346925,-3.7985613969126844,-6.448470876765341,-3.986631671745041,10
-4.252715753963451,-4.134822818595973,-5.199120053025297,-4.343287927508151,-4.108225625233506,-4.090875913307706,-4.913885961542229,-5.1422339712184835,-4.331979482693591,-4.074813387594225,-3.847426969657728,-4.270146201262528,-4.313236163918282,-3.8665437254186847,-3.897047549510937,-4.1370983730591,-3.799036294003447,-6.31637246581957,-3.9931943138224346,11
-4.233092007567034,-4.144577117373327,-5.169112139413559,-4.400268325852282,-4.126247025202348,-4.136376816025886,-4.921386538409152,-5.081810197480262,-4.349573210107483,-4.0643962781927465,-3.850481373917703,-4.278015734473678,-4.33940633161069,-3.870552105723083,-3.890465348794404,-4.16040175853834,-3.799689277503248,-6.134737150769135,-4.002217946678851,12
-4.209454313044077,-4.156326613627866,-5.132966243472146,-4.468903805675894,-4.147954620619361,-4.191184721572783,-4.930421324180673,-5.009027015477403,-4.370765654492397,-4.051848396413693,-3.8541605426853995,-4.287494944932563,-4.370929488149273,-3.875380381998835,-3.882536788840398,-4.188471745592878,-3.800475825809828,-5.915949157640202,-4.013087322619534,13
-4.183140653103426,-4.169406241533863,-5.09272835931095,-4.545309339819161,-4.172119679668488,-4.252197295672159,-4.940478915888594,-4.928004227964788,-4.394357243524661,-4.037879999716257,-3.8582562211249116,-4.298047273556605,-4.406021303918639,-3.880755255588823,-3.87371065606141,-4.21971946703095,-3.801351417320928,-5.672392712458937,-4.025187193949728,14
-4.155489010453929,-4.183150935265589,-5.0504444810398645,-4.6255999011222535,-4.197513470533674,-4.316312204047774,-4.9510479105647125,-4.842861637697293,-4.419148404880598,-4.023201345559627,-3.862560154400331,-4.309136161263226,-4.442897449303395,-3.88640342783593,-3.8644357368699316,-4.252556055660788,-3.8022715304342873,-5.416452041251505,-4.037902312974678,15
-4.127837367804432,-4.196895628997314,-5.008160602768778,-4.705890462425347,-4.22290726139886,-4.38042711242339,-4.961616905240832,-4.757719047429799,-4.443939566236536,-4.008522691403,-3.8668640876757503,-4.320225048969847,-4.479773594688153,-3.892051600083036,-3.8551608176784535,-4.285392644290626,-3.8031916435476463,-5.160511370044074,-4.050617431999629,16
-4.101523707863781,-4.209975256903313,-4.967922718607584,-4.782295996568615,-4.247072320447988,-4.4414396865227666,-4.9716744969487525,-4.6766962599171835,-4.467531155268801,-3.994554294705564,-3.8709597661152624,-4.330777377593889,-4.514865410457518,-3.8974264736730255,-3.846334684899466,-4.3166403657286985,-3.8040672350587457,-4.916954924862809,-4.062717303329823,17
-4.077886013340825,-4.221724753157853,-4.931776822666171,-4.850931476392227,-4.268779915865001,-4.496247592069664,-4.980709282720275,-4.603913077914325,-4.488723599653715,-3.9820064129265114,-3.8746389348829595,-4.3402565880527755,-4.546388566996101,-3.902254749948778,-3.8384061249454606,-4.344710352783237,-3.8048537833653246,-4.698166931733876,-4.073586679270507,18
-4.058262266944407,-4.231479051935206,-4.901768909054432,-4.9079118747363575,-4.286801315833842,-4.541748494787843,-4.988209859587198,-4.543489304176103,-4.506317327067606,-3.971589303525034,-3.877693339142934,-4.348126121263925,-4.57255873468851,-3.9062631302531754,-3.8318239242289267,-4.368013738262477,-3.805506766865124,-4.516531616683442,-4.082610312126922,19
-4.043990451383376,-4.2385730874096454,-4.879944971882258,-4.94935216444118,-4.299907788538454,-4.574840060401064,-4.993664824581324,-4.499544741457396,-4.5191127651868,-3.9640132239603227,-3.8799147240592795,-4.353849418144762,-4.591591583919352,-3.9091783159291014,-3.8270368691623573,-4.384961654974651,-3.805981663955884,-4.38443320573767,-4.089172954204316,20
-4.034455622950788,-4.245657809505331,-4.864677895369609,-4.979089999971615,-4.310347927348522,-4.599167374547582,-4.990250073521844,-4.467174073734145,-4.529429782259904,-3.9575245717742167,-3.882359002393705,-4.356807443010433,-4.601144862692963,-3.9102723023722015,-3.823935225213643,-4.396336918206468,-3.8059755351306013,-4.284722362417873,-4.094177218527213,21
-4.028005176360774,-4.255655786165317,-4.852834286867907,-5.0035986970736905,-4.3211481020295555,-4.620514633399228,-4.972182538025248,-4.438571959667181,-4.540329986677484,-3.949964562649207,-3.8861517175222007,-4.356876120618287,-4.600539250960706,-3.909111155129819,-3.8220582956224174,-4.404132037998578,-3.8052524637791727,-4.191848484421661,-4.098950232067867,22
-4.024420601953798,-4.268309378592217,-4.844200725184231,-5.022946720509238,-4.3322462453592365,-4.638988168480123,-4.940512368819288,-4.413508164038714,-4.551726416328794,-3.941435681255465,-3.8911890605302806,-4.354261332549047,-4.590484817027728,-3.9058626807723797,-3.8213284234587834,-4.40857268929013,-3.8038684626446844,-4.105593899039651,-4.103513518053102,23
-4.0234833900703215,-4.283360947988644,-4.838563789125666,-5.037202535040094,-4.343580290115247,-4.654694311314387,-4.896289716631718,-4.3917524516309605,-4.563532109103093,-3.9320404122631647,-3.8973672225034597,-4.349168960383437,-4.571691629199183,-3.900694685870309,-3.8216679517928474,-4.409884547020276,-3.8018795444702254,-4.02574093356246,-4.107888599709752,24
