C1,C2,time
-4.688288881012899,-3.983949277266004,20
-4.589598670917212,-4.072699372751127,21
-4.501274472487884,-4.151608818310873,22
-4.423316285724913,-4.220677613945243,23
-4.355724110628301,-4.2799057596542385,24
-4.298497947198047,-4.3292932554378565,25
-4.251637795434155,-4.3688401012961,26
-4.215143655336623,-4.398546297228968,27
-4.18901552690545,-4.418411843236459,28
-4.173253410140641,-4.428436739318575,29
-4.167857305042193,-4.428620985475316,30
-4.185418922336756,-4.409198523218965,31
-4.232933656872466,-4.3647437645007905,32
-4.302007034831558,-4.301767414979271,33
-4.384244582396264,-4.226780180312883,34
-4.47125182574882,-4.146292766160105,35
-4.554634291071459,-4.066815878179413,36
-4.625997504546414,-3.994860222029287,37
-4.67694699235592,-3.9369365033682024,38
-4.6990882806822105,-3.899555427854638,39
-4.684026895707519,-3.889227701147071,40
-4.62522459719403,-3.9087477914722113,41
-4.527754409709525,-3.9529163382731434,42
-4.4006387566446445,-4.016253304032906,43
-4.2529000613900285,-4.093278651234539,44
-4.09356074733631,-4.17851234236108,45
-3.93164323787413,-4.266474339895571,46
-3.7761699563941225,-4.351684606321048,47
-3.6361633262869266,-4.4286631041205515,48
-3.5206457709431818,-4.491929795777121,49
-3.4386397137535236,-4.536004643773795,50
-3.388744266925871,-4.56373265843478,51
-3.360824572244702,-4.582377402920743,52
-3.3508020974654955,-4.593086668969412,53
-3.3545983103437287,-4.597008248318519,54
-3.3681346786348794,-4.595289932705792,55
-3.3873326700944246,-4.589079513868961,56
-3.408113752477843,-4.579524783545756,57
-3.426399393540612,-4.567773533473905,58
-3.438111061038209,-4.554973555391141,59
-3.439170222726112,-4.542272641035189,60
-3.432296339001933,-4.528730041611319,61
-3.4232298101919985,-4.512632816357403,62
-3.412423513944858,-4.49397046906008,63
-3.400330327909059,-4.472732503505988,64
-3.387403129733151,-4.448908423481769,65
-3.3740947970656827,-4.42248773277406,66
-3.360858207555203,-4.393459935169503,67
-3.3481462388502607,-4.361814534454734,68
-3.336411768599405,-4.327541034416394,69
-3.326107674451184,-4.290628938841124,70
-3.316397811029857,-4.248108041788922,71
-3.306348002231887,-4.198339113810683,72
-3.296264079614131,-4.143308123429384,73
-3.2864518747334466,-4.085001039168005,74
-3.2772172191466886,-4.025403829549518,75
-3.2688659444107153,-3.966502463096904,76
-3.261703882082383,-3.9102829083331403,77
-3.2560368637185473,-3.8587311337812027,78
-3.252170720876067,-3.81383310796407,79
-3.250411285111796,-3.777574799404719,80
-3.2510465993778874,-3.745867541546205,81
-3.253919528885092,-3.7143803300552882,82
-3.2586681385781664,-3.684735626790497,83
-3.2649304934018675,-3.658555893610365,84
-3.2723446583009514,-3.6374635923734204,85
-3.2805486982201755,-3.623081184938195,86
-3.2891806781042963,-3.6170311331632194,87
-3.297878662898072,-3.620935898907026,88
-3.3062807175462567,-3.6364179440281434,89
-3.31402490699361,-3.665099730385103,90
-3.3205243149289116,-3.712018272008415,91
-3.3258282167921074,-3.7782893569876603,92
-3.3305289651547003,-3.8596536082699866,93
-3.335218912588193,-3.9518516488025353,94
-3.3404904116640877,-4.050624101532448,95
-3.3469358149538873,-4.151711589406874,96
-3.355147475029095,-4.2508547353729496,97
-3.3657177444612127,-4.343794162377828,98
-3.379238975821744,-4.426270493368643,99
-3.396303521682191,-4.494024351292543,100
-3.4172447252474774,-4.550576804933354,101
-3.441633485631374,-4.60230113537394,102
-3.468918489268651,-4.649216284010004,103
-3.4985484225940806,-4.6913411922372505,104
-3.529971972042435,-4.728694801451382,105
-3.5626378240484864,-4.761296053048101,106
-3.5959946650470056,-4.789163888423111,107
-3.629491181472764,-4.812317248972115,108
-3.6625760597605344,-4.830775076090818,109
-3.694697986345088,-4.844556311174921,110
-3.727219186103016,-4.849615864983849,111
-3.761468183218588,-4.8436868227884045,112
-3.796843113088092,-4.8294553877513575,113
-3.8327421111078177,-4.809607763035482,114
-3.868563312674054,-4.786830151803546,115
-3.903704853183091,-4.763808757218322,116
-3.9375648680312167,-4.743229782442582,117
-3.9695414926147197,-4.727779430639098,118
-3.9990328623298903,-4.720143904970639,119
-4.025437112573016,-4.723009408599978,120
-4.048680554253237,-4.736602182040804,121
-4.0693464048720696,-4.75826222229859,122
-4.087818159714371,-4.78634636727378,123
-4.104479314065003,-4.819211454866822,124
-4.119713363208822,-4.855214322978156,125
-4.133903802430687,-4.8927118095082305,126
-4.147434127015457,-4.930060752357488,127
-4.160687832247991,-4.965617989426376,128
-4.174048413413146,-4.997740358615336,129
-4.187899365795781,-5.024784697824817,130
-4.201850879797137,-5.050254338721242,131
-4.215288695715084,-5.077799596629942,132
-4.2282596336794285,-5.105997784939718,133
-4.240810513819978,-5.133426217039377,134
-4.25298815626654,-5.158662206317715,135
-4.264839381148922,-5.1802830661635415,136
-4.276411008596928,-5.196866109965653,137
-4.287749858740367,-5.206988651112855,138
-4.298902751709045,-5.2092280029939495,139
-4.309916507632769,-5.202161478997739,140
-4.3204513750535565,-5.179046187022435,141
-4.330270048952729,-5.13761145460829,142
-4.339573019119047,-5.0831429246071576,143
-4.3485607753412765,-5.020926239870896,144
-4.357433807408178,-4.956247043251361,145
-4.3663926051085165,-4.894390977600409,146
-4.375637658231053,-4.840643685769899,147
-4.385369456564551,-4.800290810611687,148
-4.3957884898977735,-4.778617994977628,149
-4.407095248019483,-4.7809108817195805,150
-4.418143623139694,-4.811778199865637,151
-4.4280889733719215,-4.868298947029481,152
-4.437583987360174,-4.944464168941349,153
-4.447281353748466,-5.034264911331481,154
