C1,C2,C3,C4,C5,time
-5.556204751174494,-5.556066977496677,-5.286057907207409,-6.446085950247071,-3.1978027123094237,10
-5.476104954336134,-5.404350736561229,-5.192623335872909,-6.146829176109829,-3.1848171483353376,11
-5.400907148483375,-5.263484717249376,-5.104391495035184,-5.869965480708461,-3.172799890883878,12
-5.330611333616218,-5.133468919561119,-5.021362384694233,-5.615494864042966,-3.1617509399550463,13
-5.265217509734667,-5.01430334349646,-4.943536004850058,-5.3834173261133476,-3.1516702955488416,14
-5.204725676838719,-4.905987989055396,-4.870912355502659,-5.173732866919602,-3.142557957665264,15
-5.149135834928377,-4.808522856237929,-4.803491436652036,-4.986441486461732,-3.1344139263043136,16
-5.098447984003642,-4.721907945044059,-4.741273248298187,-4.8215431847397365,-3.1272382014659916,17
-5.052662124064515,-4.646143255473786,-4.684257790441115,-4.679037961753617,-3.121030783150296,18
-5.011778255110995,-4.581228787527108,-4.632445063080817,-4.558925817503371,-3.1157916713572273,19
-4.9757963771430855,-4.527164541204028,-4.585835066217296,-4.461206751989,-3.111520866086787,20
-4.948778649814768,-4.485213597065674,-4.545443202163449,-4.399308214203154,-3.108644898966738,21
-4.932981828489366,-4.4560776665348945,-4.511833583315333,-4.3806898980306395,-3.107400732012506,22
-4.9256978067308905,-4.438914695904271,-4.484329274797682,-4.39640017080969,-3.1075040108055814,23
-4.92421847810335,-4.4328826314663825,-4.462253341735226,-4.437487399878537,-3.108670380927454,24
-4.925835736170756,-4.437139419513811,-4.444928849252703,-4.494999952575413,-3.1106154879596133,25
-4.927841474497118,-4.450843006339139,-4.431678862474844,-4.559986196238552,-3.113054977483551,26
-4.927527586646448,-4.473151338234945,-4.421826446526386,-4.623494498206188,-3.1157044950807564,27
-4.922185966182757,-4.503222361493808,-4.414694666532058,-4.6765732258165515,-3.1182796863327193,28
-4.9091085066700515,-4.540214022408315,-4.409606587616597,-4.710270746407879,-3.1204961968209313,29
-4.885587101672347,-4.58328426727104,-4.405885274904737,-4.7156354273184,-3.122069672126881,30
-4.855520027771359,-4.639724990139544,-4.409593736557339,-4.695135336522127,-3.1206733543630514,31
-4.823881400853513,-4.714460484149796,-4.424802316978861,-4.6594247975057135,-3.1153094863222375,32
-4.789576873439881,-4.8030972942119865,-4.447845085659433,-4.6118315608763565,-3.1076872146064036,33
-4.751512098051534,-4.901241965236314,-4.475056112089185,-4.555683377241253,-3.0995156858175097,34
-4.708592727209543,-5.004501042132966,-4.502769465758242,-4.494307997207596,-3.0925040465575186,35
-4.65972441343498,-5.108481069812143,-4.527319216156737,-4.431033171382586,-3.088361443428392,36
-4.6038128092489154,-5.208788593184038,-4.545039432774796,-4.369186650373417,-3.0887970230320922,37
-4.539763567172422,-5.301030157158844,-4.552264185102547,-4.312096184787286,-3.0955199319705815,38
-4.466482339726568,-5.380812306646753,-4.54532754263012,-4.26308952523139,-3.1102393168458216,39
-4.382874779432427,-5.443741586557963,-4.520563574847643,-4.2254944223129245,-3.1346643242597736,40
-4.280976846571656,-5.490833330394108,-4.472853399342535,-4.199323457446276,-3.1681231695177146,41
-4.157498953501099,-5.527207787971452,-4.403154898266188,-4.181132619676418,-3.208470190572392,42
-4.018358430854613,-5.554628878672129,-4.316917287954698,-4.169064771056428,-3.255203717996976,43
-3.8694726092660576,-5.574860521878275,-4.219589784744162,-4.161262773639385,-3.3078220823646385,44
-3.7167588193692853,-5.589666636972023,-4.116621604970672,-4.155869489478367,-3.3658236142485483,45
-3.5661343917981543,-5.600811143335509,-4.013461964970324,-4.1510277806264515,-3.4287066442218785,46
-3.4235166571865174,-5.6100579603508685,-3.9155600810792106,-4.1448805091367165,-3.495969502857799,47
-3.2948229461682335,-5.619171007400235,-3.8283651696334284,-4.13557053706224,-3.56711052072948,48
-3.1859705893771606,-5.629914203865745,-3.757326446969073,-4.121240726456102,-3.6416280284100924,49
-3.102876917447152,-5.644051469129532,-3.7078931294222377,-4.100033939371378,-3.7190203564728077,50
