C1,C2,C3,C4,C5,C6,time
-5.52320166741341,-5.556066977496677,-6.446085950247069,-3.5830764656548184,-3.241374387227817,-4.736373201954368,10
-5.446098577305282,-5.404350736561228,-6.146829176109827,-3.581305758180008,-3.2351701112871396,-4.673246592424158,11
-5.3736942984842875,-5.263484717249376,-5.8699654807084585,-3.5796124666344284,-3.22944553521115,-4.613970440420571,12
-5.305988830950427,-5.13346891956112,-5.6154948640429625,-3.5779965910180787,-3.224200658999847,-4.558544745943608,13
-5.242982174703701,-5.014303343496461,-5.383417326113345,-3.5764581313309587,-3.219435482653231,-4.506969508993267,14
-5.18467432974411,-4.905987989055398,-5.1737328669196,-3.57499708757307,-3.2151500061713025,-4.4592447295695505,15
-5.131065296071654,-4.808522856237931,-4.98644148646173,-3.5736134597444114,-3.211344229554061,-4.415370407672458,16
-5.082155073686334,-4.7219079450440615,-4.821543184739734,-3.572307247844983,-3.2080181528015066,-4.375346543301988,17
-5.037943662588149,-4.646143255473788,-4.679037961753615,-3.5710784518747847,-3.2051717759136396,-4.339173136458141,18
-4.998431062777103,-4.581228787527111,-4.558925817503369,-3.5699270718338165,-3.2028050988904595,-4.306850187140919,19
-4.963617274253192,-4.527164541204032,-4.461206751988998,-3.5688531077220786,-3.2009181217319664,-4.27837769535032,20
-4.937413010604325,-4.485213597065678,-4.3993082142031525,-3.567528375616573,-3.1998408903745905,-4.2547316082755655,21
-4.921990890490448,-4.456077666534898,-4.380689898030638,-3.5657705511156337,-3.1997567636719038,-4.236454118799554,22
-4.914743771519625,-4.438914695904273,-4.396400170809688,-3.5637984235012605,-3.2004457109996203,-4.222894595462808,23
-4.913064511299916,-4.432882631466385,-4.437487399878535,-3.5618307820554507,-3.201687701733452,-4.213402406805845,24
-4.9143459674393855,-4.437139419513814,-4.494999952575411,-3.5600864160602037,-3.2032627052491134,-4.207326921369185,25
-4.915980997546095,-4.450843006339141,-4.559986196238551,-3.5587841147975183,-3.2049506909223173,-4.204017507693348,26
-4.915362459228108,-4.473151338234946,-4.6234944982061865,-3.5581426675493923,-3.2065316281287783,-4.202823534318853,27
-4.909883210093485,-4.503222361493809,-4.67657322581655,-3.5583808635978253,-3.2077854862442083,-4.20309436978622,28
-4.896936107750291,-4.540214022408316,-4.710270746407877,-3.5597174922248156,-3.2084922346443214,-4.204179382635972,29
-4.873914009806585,-4.583284267271041,-4.715635427318398,-3.5623713427123622,-3.2084318427048313,-4.205427941408622,30
-4.844607181872342,-4.639724990139545,-4.695135336522125,-3.5660596320808087,-3.2049957028614617,-4.211018309375472,31
-4.813825030285484,-4.714460484149797,-4.659424797505712,-3.570398366086051,-3.1969627685962836,-4.2239464728304075,32
-4.7804891237459906,-4.803097294211987,-4.611831560876355,-3.5754545171134167,-3.1861943508545276,-4.241788384847829,33
-4.743521030953848,-4.901241965236314,-4.555683377241251,-3.5812950575482323,-3.1745517605814273,-4.26211999850214,34
-4.701842320609038,-5.004501042132966,-4.494307997207595,-3.587986959775826,-3.1638963087222125,-4.28251726686774,35
-4.654374561411543,-5.108481069812143,-4.431033171382585,-3.5955971961815227,-3.156089306222117,-4.3005561430190316,36
