C1,C2,C3,C4,C5,C6,C7,time
-4.664127036562977,-5.486092990963522,-3.355391321183001,-5.586881606829499,-6.035840912482256,-6.0568107165046445,-3.162445590094107,10
-4.609021660972152,-5.429795649751438,-3.3666230476262338,-5.40017144047896,-5.77187459384774,-5.965495622392078,-3.1527287802767385,11
-4.559926555726079,-5.3766579967811685,-3.3772613270269587,-5.226034556288624,-5.525984155249714,-5.880331905242649,-3.143717544682268,12
-4.51684172082476,-5.326680032052709,-3.387306159385175,-5.064470954258489,-5.298169596688176,-5.801319565056353,-3.135411883310694,13
-4.479767156268195,-5.279861755566062,-3.3967575447008844,-4.915480634388556,-5.0884309181631275,-5.728458601833195,-3.127811796162019,14
-4.448702862056382,-5.236203167321222,-3.405615482974085,-4.779063596678824,-4.896768119674569,-5.6617490155731724,-3.1209172832362415,15
-4.423648838189323,-5.195704267318192,-3.413879974204778,-4.655219841129294,-4.7231812012225,-5.6011908062762865,-3.114728344533362,16
-4.404605084667018,-5.158365055556968,-3.421551018392963,-4.543949367739965,-4.567670162806921,-5.546783973942536,-3.109244980053381,17
-4.391571601489467,-5.12418553203755,-3.4286286155386407,-4.445252176510838,-4.430235004427833,-5.498528518571922,-3.104467189796298,18
-4.384548388656669,-5.093165696759936,-3.43511276564181,-4.359128267441913,-4.310875726085234,-5.456424440164444,-3.100394973762113,19
-4.383535446168626,-5.065305549724124,-3.4410034687024718,-4.285577640533189,-4.209592327779126,-5.420471738720101,-3.0970283319508267,20
-4.392754098327745,-5.044675970861383,-3.4468459910725815,-4.225721982839542,-4.133977949169891,-5.393963678708378,-3.0945908018244443,21
-4.414549525302031,-5.03353856013353,-3.452943258503225,-4.180184453835901,-4.088251001179963,-5.378729851501209,-3.093206570861859,22
-4.446107510889879,-5.029179397586386,-3.4589317600930984,-4.148217262152351,-4.067349390702423,-5.372574747452272,-3.0927266140883987,23
-4.484613838889683,-5.028884563265774,-3.464447984940898,-4.129072616418974,-4.066211024630346,-5.373302856915245,-3.093001906529393,24
-4.527254293099835,-5.029940137217521,-3.4691284221453214,-4.122002725265854,-4.079773809856811,-5.3787186702438055,-3.0938834232101713,25
-4.571214657318732,-5.029632199487448,-3.472609560805065,-4.126259797323075,-4.102975653274895,-5.386626677791633,-3.0952221391560646,26
-4.613680715344766,-5.02524683012138,-3.4745278900188232,-4.141096041220722,-4.130754461777679,-5.3948313699124055,-3.0968690293924004,27
-4.651838250976332,-5.014070109165138,-3.474519898885294,-4.165763665588875,-4.158048142258236,-5.4011372369598,-3.098675068944508,28
-4.682873048011825,-4.993388116664548,-3.472222076503174,-4.19951487905762,-4.179794601609651,-5.403348769287495,-3.1004912328377183,29
-4.703970890249636,-4.9604869326654315,-3.467270911971159,-4.24160189025704,-4.190931746724996,-5.39927045724917,-3.1021684960973603,30
-4.713337372106676,-4.917688978577663,-3.4602357916426327,-4.30936392028157,-4.200449647708461,-5.396495992028572,-3.101471957549889,31
-4.712894048023635,-4.869098924025873,-3.451810015537491,-4.413209357085811,-4.2185923659880675,-5.4015209157684145,-3.0973145498504007,32
-4.705400641834575,-4.814676221378024,-3.441815943254205,-4.541994159590092,-4.242178795442649,-5.410502495260822,-3.0912689987671866,33
-4.693616877373563,-4.754380323002074,-3.4300759343912426,-4.684574286714744,-4.268027829951037,-5.4195979972979185,-3.0849080300685396,34
-4.680302478474658,-4.6881706812659845,-3.416412348547073,-4.8298056973800945,-4.292958363392062,-5.424964688671827,-3.079804369522748,35
-4.668217168971927,-4.616006748537716,-3.400647545320166,-4.966544350506476,-4.313789289644558,-5.422759836174673,-3.0775307428981047,36
-4.660120672699435,-4.53784797718523,-3.38260388430899,-5.083646205014218,-4.327339502587358,-5.4091407065985795,-3.0796598759629012,37
-4.658772713491244,-4.453653819576486,-3.3621037251120143,-5.169967219823649,-4.330427896099291,-5.380264566735671,-3.087764494485428,38
-4.666933015181416,-4.3633837280794445,-3.3389694273277066,-5.2143633538550995,-4.319873364059188,-5.332288683378071,-3.1034173242339755,39
-4.687361301604019,-4.266997155062065,-3.3130233505545377,-5.205690566028902,-4.292494800345887,-5.261370323317905,-3.128191090976835,40
-4.723140029319515,-4.156367453281027,-3.2819484399178083,-5.1333409464728,-4.243024531216673,-5.157985262460145,-3.1602941582098243,41
-4.77311973836691,-4.027021868108445,-3.2446416623850136,-5.0029779952663125,-4.171834996125323,-5.020827321856461,-3.1971001974486857,42
-4.833712277798082,-3.8844006908354505,-3.2027464103179146,-4.827864786257424,-4.084205258745408,-4.858380836019026,-3.2389298964916025,43
-4.901329496664908,-3.7339442127531717,-3.157906076078273,-4.6212643932941235,-3.985414382750495,-4.679130139460014,-3.286103943136759,44
-4.972383244019266,-3.581092725152731,-3.111764052027849,-4.396439890224391,-3.88074143181415,-4.49155956669159,-3.338943025182337,45
-5.043285368913032,-3.4312865193252584,-3.065963730528404,-4.166654350896216,-3.775465469609942,-4.304153452225931,-3.3977678304265195,46
-5.110447720398087,-3.289965886561878,-3.0221485039416978,-3.94517084915758,-3.674865559811436,-4.125396130575204,-3.4628990466674905,47
-5.170282147526304,-3.162571118153718,-2.9819617646294923,-3.745252458856469,-3.584220766092201,-3.963771936251582,-3.534657361703433,48
-5.219200499349563,-3.0545425053919075,-2.947046904953548,-3.5801622538408715,-3.5088101521258053,-3.827765203767238,-3.61336346333253,49
-5.2536146249197415,-2.9713203395675714,-2.919047317275626,-3.463163307958771,-3.453912781585814,-3.725860267634342,-3.699338039352963,50
-5.280497249302866,-2.9133794184001927,-2.897727753324883,-3.390842466576637,-3.4187872880151615,-3.657027187200582,-3.801715554193535,51
-5.307443154074411,-2.8753417348394277,-2.8812532608719863,-3.3475492338705255,-3.3975472166095546,-3.6118952040909393,-3.9252381451906446,52
-5.331797273050429,-2.8538683730216627,-2.8688676763409653,-3.3281906719027967,-3.3877539985217235,-3.586437426233529,-4.063638009503882,53
-5.350904540046968,-2.8456204170832793,-2.8598148361558486,-3.327673842735812,-3.386969064904397,-3.5766269615564616,-4.210647344292835,54
-5.362109888880078,-2.847258951160665,-2.8533385767406636,-3.3409058084319323,-3.3927538469103053,-3.5784369179878515,-4.359998346717088,55
-5.362758253365811,-2.855445059390204,-2.8486827345194405,-3.362793631053519,-3.402669775692178,-3.5878404034558113,-4.505423213936232,56
-5.350194567320217,-2.866839825908281,-2.8450911459162063,-3.3882443726629328,-3.414278282402745,-3.6008105258884537,-4.640654143109852,57
-5.321763764559343,-2.878104334851281,-2.8418076473549903,-3.412165095322535,-3.4251407981947355,-3.6133203932138915,-4.759423331397534,58
-5.274810778899242,-2.8858996703555886,-2.8380760752598215,-3.4294628610946867,-3.432818754220879,-3.621343113360238,-4.855462975958868,59
-5.206680544155965,-2.8868869165575894,-2.8331402660547282,-3.4350447320417485,-3.434873581633906,-3.6208517942556067,-4.922505273953439,60
-5.109584312803035,-2.8844572348480084,-2.827346613909451,-3.433388373849926,-3.4333544127746722,-3.6156302041564676,-4.958274281976941,61
-4.981948404849841,-2.883957183191367,-2.8216717296637417,-3.432262943835773,-3.431928540711193,-3.6119564727613365,-4.9680055307133335,62
-4.830440355416226,-2.8849809405847466,-2.816304774746647,-3.4315127415071744,-3.430584637686936,-3.6095452501613914,-4.956698428454607,63
-4.6617276996220385,-2.8871226860252275,-2.811434910587212,-3.4309820663720165,-3.4293113759453706,-3.608111186447812,-4.929352383492753,64
-4.482477972587118,-2.8899765985098904,-2.8072512986144837,-3.430515217938183,-3.428097427729965,-3.607368931711776,-4.89096680411976,65
-4.299358709431309,-2.8931368570358154,-2.8039431002575066,-3.4299564957135584,-3.4269314652841865,-3.607033136044463,-4.846541098627617,66
-4.119037445274458,-2.896197640600083,-2.8016994769453274,-3.4291501992060294,-3.4258021608515037,-3.606818449537051,-4.801074675308317,67
-3.948181715236408,-2.8987531281997745,-2.8007095901069916,-3.427940627923479,-3.4246981866753856,-3.6064395222807195,-4.759566942453847,68
-3.793459054437004,-2.90039749883197,-2.801162601171545,-3.426172081373794,-3.4236082149993003,-3.605611004366647,-4.727017308356201,69
-3.6615369979960906,-2.9007249314937495,-2.803247671568034,-3.423688859064859,-3.422520918066715,-3.6040475458860124,-4.708425181307366,70
-3.5451320978070577,-2.8998211575141366,-2.8076896493528136,-3.4202410037710957,-3.421394332221932,-3.601828740382406,-4.700871445142893,71
-3.433283512945658,-2.898154656819689,-2.8146950604826255,-3.4158511175441895,-3.4202168916259645,-3.5992947249151173,-4.697549797098246,72
-3.3271426893052696,-2.8958937313037922,-2.8236755832370974,-3.4107723388079254,-3.419022865247353,-3.5965509648488774,-4.697628865565286,73
-3.2278610727792754,-2.8932066828598306,-2.8340428958958563,-3.4052578059860856,-3.4178465220546372,-3.5937029255484156,-4.700277278935875,74
-3.1365901092610544,-2.8902618133811884,-2.8452086767385265,-3.3995606575024513,-3.4167221310163542,-3.5908560723784606,-4.704663665601872,75
-3.054481244643987,-2.8872274247612504,-2.8565846040447362,-3.3939340317808058,-3.4156839611010463,-3.5881158707037413,-4.70995665395514,76
-2.9826859248214554,-2.8842718188934002,-2.8675823560941116,-3.3886310672449333,-3.4147662812772515,-3.585587785888987,-4.715324872387537,77
-2.922355595686838,-2.881563297671023,-2.8776136111662787,-3.3839049023186147,-3.414003360513508,-3.583377283298928,-4.7199369492909264,78
-2.8746417031335176,-2.8792701629875044,-2.8860900475408653,-3.3800086754256333,-3.413429467778357,-3.5815898282982928,-4.722961513057168,79
-2.8406956930548732,-2.877560716736227,-2.892423343497496,-3.377195524989772,-3.4130788720403373,-3.5803308862518106,-4.723567192078123,80
-2.825199845901056,-2.8763018753107628,-2.8969994741342604,-3.3754258015222893,-3.4129746937405026,-3.579490959462285,-4.721693379365115,81
-2.829561336551237,-2.875245168077364,-2.900642981474928,-3.3744149636084813,-3.4130942393787307,-3.57889984438637,-4.718168567518058,82
-2.8500189525423263,-2.8743858163884353,-2.903423394187646,-3.374048811783183,-3.4134030570117964,-3.5785719476195683,-4.713495034311705,83
-2.8828114814112333,-2.873719041596383,-2.9054102409405655,-3.374213146581234,-3.4138666946964773,-3.5785216757573846,-4.708175057520807,84
-2.924177710694869,-2.873240065053613,-2.9066730504018334,-3.374793768537469,-3.4144507004895464,-3.57876343539532,-4.702710914920113,85
-2.9703564279301444,-2.8729441081125304,-2.9072813512396,-3.3756764781867266,-3.415120622447782,-3.5793116331288806,-4.697604884284375,86
-3.0175864206539673,-2.8728263921255417,-2.9073046721220126,-3.3767470760638423,-3.415842008627958,-3.580180675553568,-4.693359243388346,87
-3.0621064764032515,-2.872882138445052,-2.9068125417172213,-3.377891362703655,-3.416580407086851,-3.5813849692648883,-4.690476270006774,88
-3.1001553827149047,-2.873106568423467,-2.905874488693374,-3.378995138641,-3.417301365881237,-3.582938920858342,-4.68945824191441,89
-3.1279719271258384,-2.873494903413193,-2.904560041718621,-3.379944204410716,-3.4179704330678904,-3.5848569369294347,-4.690807436886008,90
-3.148867081178676,-2.873926316700521,-2.90237746547365,-3.3806681259105966,-3.4181564462815373,-3.5867060931488486,-4.689591453845309,91
-3.1685807901365997,-2.874338637967932,-2.8989814698659493,-3.3812462021588456,-3.4176555988159225,-3.5882309358271818,-4.682549189316874,92
-3.186995302117351,-2.8748150731621185,-2.8946612514038654,-3.381788833370912,-3.4167744722163547,-3.5897120775198097,-4.672689867476679,93
-3.2039928652386784,-2.875438828229772,-2.8897060065957456,-3.3824064197622468,-3.4158196480281435,-3.59143013078211,-4.6630227125007,94
-3.2194557276183247,-2.8762931091175834,-2.8844049319499363,-3.3832093615482974,-3.415097707796595,-3.593665708169457,-4.656556948564913,95
-3.233266137374035,-2.8774611217722454,-2.879047223974785,-3.384308058944514,-3.414915233067019,-3.5966994222372284,-4.656301799845294,96
