C1,C2,C3,C4,C5,time
-4.9456290616048015,-4.622384688422015,-3.8446467345381183,-4.719172722961095,-3.6573456604553014,20
-5.068465296844022,-4.46696209598447,-3.931426069853447,-4.830976645772892,-3.7107376141945743,21
-5.177280759299591,-4.328150911230968,-4.008916585701027,-4.929393732973202,-3.7582245315933647,22
-5.272075448971508,-4.205951134161511,-4.0771182820808605,-5.0144239845620255,-3.7998064126516726,23
-5.3528493658597736,-4.100362764776099,-4.136031158992945,-5.086067400539365,-3.835483257369497,24
-5.419602509964389,-4.011385803074731,-4.18565521643728,-5.144323980905217,-3.865255065746839,25
-5.472334881285354,-3.9390202490574087,-4.225990454413867,-5.1891937256595835,-3.8891218377836982,26
-5.511046479822668,-3.883266102724131,-4.257036872922708,-5.220676634802464,-3.9070835734800755,27
-5.535737305576332,-3.8441233640748975,-4.2787944719637965,-5.238772708333858,-3.919140272835969,28
-5.5464073585463485,-3.82159203310971,-4.291263251537139,-5.243481946253769,-3.9252919358513814,29
-5.543056638732715,-3.815672109828567,-4.294443211642733,-5.234804348562193,-3.9255385625263104,30
-5.519072879058157,-3.8438733968347325,-4.278452466685004,-5.201289854629579,-3.9127795636520077,31
-5.470782597813081,-3.915923562241129,-4.237801080221967,-5.136577319661727,-3.8830701674458328,32
-5.402593973049001,-4.0201494043122485,-4.179076975984006,-5.048300117411679,-3.8411441000469546,33
-5.31891518281743,-4.144877721312583,-4.108868077701502,-4.944091621632463,-3.7917350875945366,34
-5.224154405169889,-4.278435311506622,-4.033762309104839,-4.831585206077119,-3.7395768562277483,35
-5.12271981815789,-4.409148973158858,-3.960347593924397,-4.718414244498683,-3.689403132085754,36
-5.0190195998329505,-4.5253455045337825,-3.895211855890561,-4.612212110650189,-3.6459476413077225,37
-4.917461928246584,-4.615351703895886,-3.8449430187337117,-4.520612178284673,-3.6139441100328185,38
-4.822454981450309,-4.667494369509662,-3.8161290061842332,-4.451247821155171,-3.598126264400209,39
-4.7384069374956415,-4.670100299639597,-3.815357741972508,-4.411752413014718,-3.6032278305490615,40
-4.65864397671923,-4.616665975608075,-3.8462919262498803,-4.402926963055352,-3.6327685395210074,41
-4.574886977625047,-4.5156838740236065,-3.904134471528184,-4.417300385084317,-3.683794748120782,42
-4.489136165515599,-4.377974786079892,-3.9827836200785303,-4.450097909777456,-3.751330121132205,43
-4.403391765693387,-4.2143595029706296,-4.076137614172033,-4.4965447678106125,-3.8303983233390935,44
-4.319654003460912,-4.035658815889513,-4.178094696079803,-4.551866189859632,-3.9160230195252663,45
-4.239923104120679,-3.852693516030242,-4.282553108072957,-4.611287406600359,-4.003227874474543,46
-4.166199292975189,-3.6762843945865105,-4.3834110924226035,-4.6700336487086345,-4.087036552970745,47
-4.100482795326944,-3.517252242752017,-4.474566891399859,-4.723330146860305,-4.162472719797689,48
-4.0447738364784485,-3.3864178517204615,-4.549918747275832,-4.7664021317312155,-4.224560039739193,49
-4.001072641732204,-3.294602012685538,-4.603364902321639,-4.794474833997208,-4.268322177579079,50
-3.97225057248839,-3.23930972525715,-4.6384016215858885,-4.8108990452474085,-4.295279199897466,51
-3.9578285218037688,-3.207933316869555,-4.663299023295914,-4.822487928997121,-4.31143623205565,52
-3.954781012465722,-3.19612457045299,-4.679116129490914,-4.829660273811459,-4.318544527009203,53
-3.9600825672616273,-3.1995352689376877,-4.686911962210083,-4.832834868255542,-4.318355337713701,54
-3.9707077089788623,-3.2138171952538794,-4.68774554349262,-4.832430500894479,-4.312619917124717,55
-3.983630960404808,-3.2346221323318014,-4.682675895377724,-4.828865960293388,-4.303089518197828,56
-3.9958268443268414,-3.257601863101685,-4.672762039904587,-4.822560035017383,-4.291515393888607,57
-4.004269883532342,-3.278408170493766,-4.65906299911241,-4.813931513631578,-4.279648797152628,58
-4.00593460080869,-3.2926928374382762,-4.64263779504039,-4.80339918470109,-4.269240980945468,59
-3.9977955189432626,-3.29610764686545,-4.624545449727722,-4.791381836791032,-4.2620431982227,60
-3.9823340101836022,-3.291433032967428,-4.60252541095848,-4.77931952813025,-4.256792844580913,61
-3.964066146591432,-3.2847229435529344,-4.574223571312793,-4.767577991815388,-4.250972358953167,62
-3.9430185006754033,-3.2765394319770795,-4.540558620023949,-4.754964528713265,-4.244450559299756,63
-3.919217644944165,-3.267444551594972,-4.502449246325236,-4.740286439690699,-4.237096263580966,64
-3.892690151906368,-3.2580003557617236,-4.4608141394499405,-4.722351025614507,-4.228778289757088,65
-3.863462594070663,-3.2487688978324427,-4.416571988631352,-4.699965587351508,-4.219365455788409,66
-3.8315615439457003,-3.240312231162239,-4.370641483102758,-4.671937425768517,-4.208726579635219,67
-3.7970135740401307,-3.233192409106223,-4.323941312097443,-4.637073841732354,-4.196730479257807,68
-3.7598452568626053,-3.2279714850195043,-4.277390164848697,-4.594182136109836,-4.183245972616462,69
-3.7200831649217734,-3.225211512257192,-4.231906730589808,-4.542069609767781,-4.168141877671473,70
-3.6745931693924834,-3.2246648534000997,-4.184900900955376,-4.47531268548886,-4.14989634418728,71
-3.621606530918457,-3.2256110619581944,-4.133981012093067,-4.392135137994154,-4.127799940444566,72
-3.5631979062116566,-3.227902977680318,-4.080363420005766,-4.296815296058093,-4.102940112177991,73
-3.5014419519840465,-3.2313934403153124,-4.0252644806963565,-4.193631488455113,-4.076404305122212,74
-3.4384133249475863,-3.235935289612017,-3.9699005501677203,-4.086862043959639,-4.049279965011886,75
-3.3761866818142394,-3.2413813653192767,-3.9154879844227413,-3.9807852913461064,-4.022654537581672,76
-3.3168366792959696,-3.2475845071859304,-3.863243139464304,-3.8796795593889457,-3.9976154685662255,77
-3.2624379741047367,-3.2543975549608213,-3.8143823712952902,-3.7878231768625876,-3.9752502037002038,78
-3.2150652229525054,-3.2616733483927907,-3.7701220359185843,-3.709494472541464,-3.9566461887182665,79
-3.1767930825512365,-3.26926472723068,-3.73167848933707,-3.6489717752000073,-3.94289086935507,80
-3.1465297095110487,-3.277813119953258,-3.6974066686669893,-3.603034259197413,-3.926325799979753,81
-3.1215170283214566,-3.2878274863462265,-3.665131243858823,-3.5654557915597542,-3.901568567072564,82
-3.10133034751351,-3.2989619631188276,-3.635273170166803,-3.5360067400617665,-3.873120664534821,83
-3.0855449756182636,-3.3108706869803055,-3.60825340284517,-3.514457472478194,-3.845483586267846,84
-3.0737362211667705,-3.3232077946398997,-3.584492897148156,-3.5005783565837727,-3.823158826172957,85
-3.065479392690082,-3.3356274228068545,-3.5644126083299983,-3.4941397601532436,-3.810647878151474,86
-3.060349798719252,-3.3477837081904105,-3.5484334916449334,-3.494912050961345,-3.812452236104717,87
-3.057922747785334,-3.359330787499812,-3.5369765023471964,-3.5026655967828186,-3.833073393934006,88
-3.0577735484193806,-3.3699227974443,-3.5304625956910236,-3.517170765392403,-3.8770128455406603,89
-3.059477509152444,-3.379213874733116,-3.529312726930651,-3.538197924564837,-3.948772084825999,90
-3.0643052795503665,-3.386141384964578,-3.5323319910743156,-3.5686835620453223,-4.061678039472214,91
-3.073403196821228,-3.3904736487355724,-3.5384200058259054,-3.6104971970370174,-4.218466342293958,92
-3.0861601009594377,-3.393111235253198,-3.5481395104831313,-3.6618087445016014,-4.407751544891274,93
-3.101964831959405,-3.3949547137245557,-3.562053244343703,-3.7207881194007513,-4.618148198864183,94
-3.1202062298155386,-3.3969046533567413,-3.580723946705331,-3.7856052366961426,-4.838270855812716,95
-3.140273134522249,-3.399861623356856,-3.604714356865726,-3.8544300113494554,-5.05673406733691,96
-3.1615543860739423,-3.404726192931997,-3.6345872141225968,-3.925432358322364,-5.262152385036782,97
-3.1834388244650325,-3.412398931289266,-3.6709052577736565,-3.996782192576551,-5.4431403605123805,98
-3.205315289689925,-3.423780407635759,-3.714231227116613,-4.0666494290736885,-5.5883125453637215,99
-3.2265726217430304,-3.4397711911785764,-3.7651278614491774,-4.133203982775457,-5.6862834911908395,100
-3.2487451197657946,-3.460397063236457,-3.831249531894116,-4.195016412698493,-5.7390143388426855,101
-3.2733189677314845,-3.4847384231420806,-3.916265085359043,-4.2531904509288205,-5.759401742687163,102
-3.2996108328822418,-3.5122777671234524,-4.014758974818941,-4.30969577203219,-5.752463524602731,103
-3.32693738246021,-3.5424975914085826,-4.121315653248795,-4.366502050574359,-5.723217506467854,104
