C1,time
-4.605780527430761,20
-4.529047610274542,21
-4.460313638712518,22
-4.399578612744686,23
-4.346842532371044,24
-4.302105397591588,25
-4.265367208406319,26
-4.236627964815233,27
-4.215887666818329,28
-4.203146314415603,29
-4.198403907607055,30
-4.211633104154226,31
-4.248374269480198,32
-4.301978965077278,33
-4.365798752437775,34
-4.433185193053996,35
-4.497489848418249,36
-4.552064280022842,37
-4.590260049360082,38
-4.605428717922277,39
-4.590921847201735,40
-4.54129445709505,41
-4.460416235626825,42
-4.355610746481381,43
-4.234201553343043,44
-4.103512219896126,45
-3.9708663098249555,46
-3.8435873868138493,47
-3.7289990145471306,48
-3.6344247567091212,49
-3.5671881769841423,50
-3.526385764216589,51
-3.5039207609807193,52
-3.4963268615556444,53
-3.5001377602204777,54
-3.5118871512543297,55
-3.5281087289363127,56
-3.5453361875455385,57
-3.560103221361119,58
-3.5689435246621657,59
-3.5683907917277913,60
-3.5607357155930752,61
-3.5508455909139824,62
-3.5391190144009537,63
-3.5259545827644296,64
-3.5117508927148497,65
-3.496906540962656,66
-3.481820124218287,67
-3.4668902391921845,68
-3.4525154825947886,69
-3.4390944511365396,70
-3.4255410094898844,71
-3.4108383895879473,72
-3.3954892390321874,73
-3.3799962054240633,74
-3.364861936365032,75
-3.3505890794565527,76
-3.337680282300083,77
-3.326638192497082,78
-3.3179654576490063,79
-3.3121647253573157,80
-3.30901133831738,81
-3.3078592227362265,82
-3.308578901482797,83
-3.3110408974260364,84
-3.315115733434886,85
-3.32067393237829,86
-3.3275860171251894,87
-3.335722510544529,88
-3.344953935505251,89
-3.355150814876298,90
-3.3663850356150564,91
-3.378830807500428,92
-3.392512137633634,93
-3.407453033115891,94
-3.42367750104842,95
-3.441209548532439,96
-3.4600731826691673,97
-3.4802924105598243,98
-3.5018912393056283,99
-3.5248936760077987,100
-3.550006483153356,101
-3.5775974103153083,102
-3.60718194522385,103
-3.6382755756091814,104
-3.6703937892014977,105
-3.7030520737309987,106
-3.7357659169278805,107
-3.76805080652234,108
-3.799422230244576,109
-3.8293956758247862,110
-3.858699939914405,111
-3.8882423667106925,112
-3.9178062652625796,113
-3.9471749446190025,114
-3.9761317138288925,115
-4.004459881941184,116
-4.031942758004809,117
-4.058363651068702,118
-4.083505870181796,119
-4.107152724393023,120
-4.12926565922234,121
-4.150047972056014,122
-4.1696457497424415,123
-4.188205079130027,124
-4.205872047067167,125
-4.222792740402264,126
-4.239113245983716,127
-4.254979650659925,128
-4.270538041279289,129
-4.285934504690209,130
-4.301235284984994,131
-4.316325686964732,132
-4.331080388540996,133
-4.345374067625359,134
-4.359081402129393,135
-4.372077069964669,136
-4.38423574904276,137
-4.395432117275238,138
-4.405540852573673,139
-4.414436632849641,140
-4.4210296244554526,141
-4.424844327900759,142
-4.426676922333147,143
-4.427323586900205,144
-4.4275805007495155,145
-4.428243843028665,146
-4.430109792885238,147
-4.433974529466821,148
-4.440634231920999,149
-4.450885079395359,150
-4.464255102127174,151
-4.479656427428545,152
-4.496961380059297,153
-4.516042284779254,154
-4.536771466348242,155
-4.559021249526087,156
-4.582663959072613,157
-4.6075719197476435,158
-4.633617456311006,159
-4.660672893522525,160
-4.690494857286033,161
-4.724191654834212,162
-4.760663132920158,163
-4.798809138296967,164
-4.83752951771774,165
-4.875724117935571,166
-4.912292785703557,167
-4.946135367774797,168
-4.9761517109023865,169
-5.001241661839424,170
-5.022322014958326,171
-5.041043000129442,172
-5.057404617352775,173
-5.071406866628324,174
-5.083049747956091,175
-5.0923332613360754,176
-5.099257406768279,177
-5.103822184252701,178
-5.106027593789342,179
-5.105873635378206,180
