C1,C2,C3,time
-6.89771072105491,-7.000000000000005,-6.817620008191181,10
-6.741900542255487,-6.815231150132028,-6.630842446293247,11
-6.527661546406282,-6.5611739815635595,-6.374023298683597,12
-6.269600937769739,-6.255150573969722,-6.064672961790157,13
-5.9823259206083055,-5.9144830070256385,-5.720301832040861,14
-5.680443699184426,-5.556493360406432,-5.358420305863635,15
-5.378561477760547,-5.198503713787225,-4.99653877968641,16
-5.091286460599114,-4.857836146843142,-4.652167649937113,17
-4.833225851962572,-4.551812739249306,-4.342817313043678,18
-4.6189868561133665,-4.297755570680836,-4.085998165434031,19
-4.4631766773139425,-4.112986720812859,-3.8992206035361012,20
-4.349392739796454,-3.97801018269561,-3.762858371603172,21
-4.250957050071941,-3.861150022133899,-3.644955265574697,22
-4.167063685821174,-3.7614584279347083,-3.5445267594078618,23
-4.096906724724925,-3.677987588905021,-3.460588327059854,24
-4.039680244463969,-3.609789693851821,-3.39215544248786,25
-3.994578322719076,-3.5559169315820878,-3.338243579649064,26
-3.960795037171022,-3.515421490902809,-3.2978682125006555,27
-3.9375244655005757,-3.487355560620964,-3.270044814999819,28
-3.9239606853885123,-3.470771329543536,-3.253788861103741,29
-3.9192977745156026,-3.464720986477508,-3.2481158247696076,30
-3.9227298105626205,-3.468256720229864,-3.2520411799546065,31
-3.9334508712103378,-3.4804307196075848,-3.264580400615923,32
-3.950655034139528,-3.5002951734176557,-3.2847489607107447,33
-3.9735363770309626,-3.526902270467057,-3.3115623341962563,34
-4.001288977565415,-3.559304199562773,-3.3440359950296448,35
-4.033106913423657,-3.5965531495117866,-3.3811854171680973,36
-4.068184262286462,-3.6377013091210797,-3.4220260745688003,37
-4.105715101834602,-3.681800867197635,-3.4655734411889387,38
-4.144893509748849,-3.727904012548436,-3.5108429909857,39
-4.184913563709976,-3.775062933980466,-3.5568501979162708,40
-4.224969341398757,-3.8223298203007072,-3.6026105359378366,41
-4.264254920495964,-3.868756860316142,-3.6471394790075853,42
-4.301964378682367,-3.9133962428337536,-3.6894525010827017,43
-4.337291793638743,-3.955300156660525,-3.7285650761203724,44
-4.36943124304586,-3.9935207906034385,-3.763492678077785,45
-4.397576804584492,-4.0271103334694764,-3.793250780912124,46
-4.420922555935414,-4.055120974065624,-3.816854858580577,47
-4.438662574779396,-4.076604901198861,-3.8333203850403312,48
-4.449990938797212,-4.090614303676173,-3.8416628342485715,49
-4.454101725669634,-4.09620137030454,-3.840897680162485,50
-4.454421425481143,-4.097653517750732,-3.83316111058171,51
-4.454885806959172,-4.09976284141345,-3.8219233197307982,52
-4.455452865748927,-4.102338548197573,-3.8082007912043054,53
-4.45608059749561,-4.105189845007981,-3.7930100085967866,54
-4.456726997844424,-4.108125938749553,-3.777367455502797,55
-4.4573500624405735,-4.1109560363271695,-3.762289615516894,56
-4.457907786929262,-4.113489344645711,-3.7487929722336317,57
-4.4583581669556915,-4.115535070610055,-3.7378940092475657,58
-4.4586591981650665,-4.116902421125083,-3.730609210153252,59
-4.458768876202591,-4.117400603095675,-3.727955058545246,60
-4.459571245925619,-4.120496790449168,-3.729886273089287,61
-4.461749106602406,-4.128900727551503,-3.7351281411373978,62
-4.4649585854945135,-4.141285476965473,-3.7428529993135617,63
-4.468855809863503,-4.156324101253865,-3.752233184241761,64
-4.473096906970931,-4.172689662979467,-3.762441032545977,65
-4.47733800407836,-4.18905522470507,-3.7726488808501935,66
-4.481235228447348,-4.204093848993462,-3.7820290657783926,67
-4.484444707339457,-4.2164785984074316,-3.7897539239545557,68
-4.4866225680162435,-4.224882535509767,-3.794995792002667,69
-4.487424937739271,-4.22797872286326,-3.796927006546708,70
-4.4864451706721535,-4.226553215836114,-3.797223224554382,71
-4.483785802918547,-4.222683982476717,-3.798027244860926,72
-4.479866734650075,-4.216981954368133,-3.799212116891623,73
-4.4751078660383605,-4.210058063093423,-3.8006508900717555,74
-4.469929097255023,-4.202523240235651,-3.8022166138266043,75
-4.464750328471686,-4.194988417377878,-3.803782337581454,76
-4.459991459859971,-4.188064526103169,-3.805221110761586,77
-4.456072391591499,-4.182362497994584,-3.806405982792283,78
