C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-4.99566463920759,-4.791080468561,-5.049751765233985,-3.7583450900560482,-4.091076480143143,-4.058776575918734,-4.75234517652869,-4.563774511213915,-3.9681841890488476,-3.599027293238781,-3.262787451760231,-4.54099819110905,20
-4.982064483932773,-4.894300918513358,-5.076857437289051,-3.784145532182073,-4.06468952363029,-4.0213280684676205,-4.826181581893792,-4.550673695107664,-3.903927609457809,-3.5581015619682836,-3.2372359050538573,-4.579571074858379,21
-4.974293997188095,-4.977430353871243,-5.104955031453024,-3.804292628352872,-4.0447944711578,-3.9917175950748875,-4.886687608813483,-4.546069819220174,-3.8537746273274696,-3.5255317673877142,-3.216961526071839,-4.61245456282261,22
-4.972353178973554,-5.0404687746346575,-5.134044547725906,-3.8187863785684475,-4.0313913227256775,-3.9699451557405374,-4.933863257287769,-4.549962883551444,-3.8177252426578305,-3.501317909497074,-3.201964314814178,-4.6396486550017455,23
-4.976242029289152,-5.0834161808035985,-5.164125986107696,-3.827626782828797,-4.02448007833392,-3.9560107504645683,-4.967708527316647,-4.5623528881014765,-3.7957794554488893,-3.48545998829636,-3.1922442712808734,-4.661153351395782,24
-4.985960548134886,-5.106272572378066,-5.195199346598394,-3.830813841133922,-4.024060737982529,-3.9499143792469797,-4.988223418900119,-4.5832398328702695,-3.7879372657006485,-3.4779580037855755,-3.1878013954719244,-4.676968652004723,25
-5.001508735510759,-5.109037949358064,-5.227264629198001,-3.8283475534838223,-4.030133301671502,-3.951656042087773,-4.995407932038183,-4.612623717857825,-3.7941986734131072,-3.4788119559647184,-3.1886356873873325,-4.6870945568285665,26
-5.02288659141677,-5.091712311743588,-5.260321833906518,-3.8202279198784983,-4.042697769400842,-3.961235738986948,-4.98926206673084,-4.650504543064141,-3.814563678586266,-3.4880218448337903,-3.194747147027097,-4.691531065867313,27
-5.050094115852918,-5.054295659534638,-5.294370960723942,-3.8064549403179484,-4.061754141170548,-3.9786534699445033,-4.96978582297809,-4.696882308489218,-3.849032281220123,-3.5055876703927895,-3.206135774391218,-4.690278179120962,28
-5.083131308819205,-4.9967879927312175,-5.329412009650277,-3.7870286148021752,-4.087302416980619,-4.0039092349604415,-4.936979200779934,-4.751757014133057,-3.897604481314681,-3.5315094326417173,-3.2228015694796954,-4.683335896589514,29
-5.12199817031563,-4.919189311333323,-5.3654449806855204,-3.761948943331177,-4.119342596831056,-4.03700303403476,-4.8908422001363725,-4.815128659995657,-3.9602802788699374,-3.5657871315805734,-3.244744532292529,-4.67070421827297,30
-5.17681619871071,-4.8046506306468615,-5.410497502188479,-3.7259992500762977,-4.162687587460836,-4.08527656869694,-4.820423647556641,-4.902447311750603,-4.050374761408515,-3.6136362206786368,-3.270933766122299,-4.647380852109135,31
-5.253208448653621,-4.64381140361956,-5.469029367691821,-3.6762813817993947,-4.2200112259471645,-4.152808562018909,-4.7196395577680965,-5.02229633921655,-4.175285199776311,-3.677954174085507,-3.3007965505759933,-4.610586746952348,32
-5.344427254565352,-4.447904286714148,-5.5356888249563445,-3.61627312238624,-4.2881049077973925,-4.234704546314354,-4.595790713097911,-5.164375698611111,-4.326134868958247,-3.7552640228216645,-3.3350201501252257,-4.563656764177402,33
-5.4437249508668915,-4.228161936393351,-5.605124121742846,-3.5494522557226023,-4.363760028518871,-4.326070053896951,-4.456177895873261,-5.318385346151896,-4.494047043939244,-3.84208879790759,-3.37429182924161,-4.509925765159094,34
-5.544353871979228,-3.995817009119902,-5.671983505812118,-3.4792965656942543,-4.443767983618946,-4.422010617080384,-4.30810188842132,-5.474025238056516,-4.670144999704219,-3.934951530363764,-3.41929885239676,-4.45272861127222,35
-5.639566352323349,-3.7621021613565278,-5.73091522492496,-3.409283836186966,-4.524920168604971,-4.517631768178336,-4.158863473069265,-5.620995330542582,-4.845552011238094,-4.030375251210666,-3.4707284840622887,-4.3954001638915745,36
-5.722614726320245,-3.5382500495659603,-5.776567526842168,-3.3428918510865095,-4.604007978984294,-4.608039039504485,-4.015763432144269,-5.7489955798277075,-5.011391353525787,-4.1248829914687795,-3.5292679887098117,-4.341275284391954,37
-5.786751328390902,-3.335493330210926,-5.803588659324537,-3.283598394278655,-4.677822810264264,-4.688337963372512,-3.8861025479735076,-5.8477259421294985,-5.158786301552218,-4.214997782158581,-3.5956046308109397,-4.293688834148153,38
-5.8252284929563105,-3.1650646597541545,-5.806626870132863,-3.2348812496491726,-4.743156057952231,-4.7536340720961014,-3.7771816028841556,-5.906886373665572,-5.27886013030231,-4.297242654300556,-3.67042567483729,-4.255975674534968,39
-5.831298554437458,-3.038196694658377,-5.780330407027945,-3.2002182010838345,-4.796799117555546,-4.799032897988932,-3.696301379203388,-5.9161768306535345,-5.3627361147609784,-4.368140638915179,-3.7544183852604727,-4.231470666927194,40
-5.800934601741172,-2.952474006303967,-5.714299034615453,-3.179261480654613,-4.841384631571181,-4.82187447587422,-3.6416284565793924,-5.863516629653606,-5.410535651708679,-4.425733845863445,-3.8543776596323513,-4.221392583810194,41
-5.738897041156887,-2.89490600912608,-5.608304809628085,-3.1682112932606934,-4.881702620860204,-4.825756791587714,-3.6045730864774237,-5.752875806751346,-5.431531676409451,-4.472540304009848,-3.9733657223259904,-4.222960146250123,42
-5.651619183179503,-2.8608626241696173,-5.472254418017172,-3.1653673820286654,-4.917780548476105,-4.81517230396189,-3.582301558950261,-5.598030397452382,-5.430574771573591,-4.511796922880129,-4.106470828044809,-4.233508138492962,43
-5.545534338303919,-2.8457137724794794,-5.316054545734048,-3.1690294900851197,-4.949645877472375,-4.794613471829227,-3.571980164050683,-5.412756437262343,-5.412515519911397,-4.546740612000027,-4.248781231492222,-4.250371344784696,44
-5.427075817025033,-2.844829375100566,-5.149611878730038,-3.1774973605566452,-4.977326070902501,-4.7685727540222,-3.570775191831466,-5.2108299616868505,-5.382204504133167,-4.580608280895281,-4.395385187371649,-4.270884549371306,45
-5.302676929837746,-2.8535793530777775,-4.982833102956477,-3.1890707365698323,-5.000848591819976,-4.741542609373289,-3.575852932345389,-5.006027006231537,-5.344492306949199,-4.61663683909163,-4.541370950386508,-4.292382536498777,46
-5.178770987236957,-2.8673336274560133,-4.825624904364692,-3.2020493612512713,-5.020240903278286,-4.718015496714969,-3.5843796756452293,-4.812123606402023,-5.3042295110697895,-4.6580631961148145,-4.681826775240219,-4.312200090413091,47
-5.061791299717564,-2.881462119280175,-4.687893968906016,-3.21473297772755,-5.035530468330925,-4.702483874879719,-3.593521711783765,-4.642895797703937,-5.2662666992052385,-4.708124261490573,-4.811840916636198,-4.32767199536023,48
-4.95817117777447,-2.8913347495951616,-4.579546982531781,-3.2254213291252607,-5.04674475003138,-4.699440202700017,-3.6004453308137734,-4.512119615642909,-5.235454454065842,-4.770056944744645,-4.926501629277862,-4.336133035586179,49
-4.874343931902571,-2.8923214394458747,-4.510490631193314,-3.2324141585709922,-5.053911211433141,-4.713376939008338,-3.6023168227880342,-4.433571095724563,-5.216643358361899,-4.847098155402771,-5.020897167868631,-4.3349179953369195,50
-4.805883298077873,-2.889108240388614,-4.486341986304607,-3.2372845763979377,-5.058818715824905,-4.752047127874146,-3.602329694444411,-4.411324425043568,-5.210599931626595,-4.9529728592934426,-5.101369837633024,-4.3238605955017135,51
-4.743658659477518,-2.889100077759947,-4.499948042849827,-3.242669762141407,-5.062432595941217,-4.815099169806053,-3.605196778360319,-4.4333567818318675,-5.212719784123245,-5.091949242368763,-5.176536803262601,-4.305632386245424,52
-4.687046797398116,-2.8917451832751726,-4.542060372135576,-3.248465562731167,-5.0635450190043425,-4.894868558295266,-3.6103633533478603,-4.489298688301003,-5.219797134657338,-5.253079044339879,-5.244898608661339,-4.281824895727445,53
-4.635424493136278,-2.896491788649591,-4.603430545468457,-3.254567825096983,-5.060948152236544,-4.983690786832986,-3.6172746982191373,-4.56878066666251,-5.228626202034358,-5.425414004917939,-5.3049557977332125,-4.254029652107169,54
-4.588168527988608,-2.9027881255984997,-4.67481013415507,-3.26087239616862,-5.053434162860085,-5.07390134891042,-3.6253760917862516,-4.661433239127931,-5.236001205059796,-5.598005863814093,-5.355208914382199,-4.223838183543985,55
-4.544655683251717,-2.9100824258372002,-4.74695070950202,-3.2672751228758456,-5.039795218097228,-5.157835738018772,-3.634112812861306,-4.756886927908804,-5.238716362539137,-5.759906360739488,-5.394158502512276,-4.192842018197284,56
-4.5042627402222095,-2.9178229210809907,-4.8106038428159055,-3.2736718521484245,-5.0188234851702385,-5.22782944764925,-3.642930140256402,-4.844772255216668,-5.233565893277869,-5.900167235405278,-5.4203051060274205,-4.162632684226461,57
-4.466366480196698,-2.9254578430451708,-4.8565211054033295,-3.279958430916122,-4.989311131301379,-5.276217971293054,-3.6512733527836416,-4.9147197432630625,-5.217344016081481,-6.007840227522607,-5.4321492688316075,-4.134801709790901,58
-4.43034368447179,-2.932435423445039,-4.875454068570894,-3.2860307061087055,-4.950050323712915,-5.295336802441391,-3.6585877292551277,-4.956359914259525,-5.186844949755459,-6.071977076802625,-5.428191534828814,-4.110940623050003,59
-4.3955711343440935,-2.9382038939958957,-4.858154303625202,-3.29178452465594,-4.899833229627108,-5.277521434585468,-3.664318548482962,-4.959323290417596,-5.1388629131052905,-6.081629522956481,-5.406932447923018,-4.092640952163153,60
-4.362756621482776,-2.943273911798517,-4.801417103889737,-3.2972211433528225,-4.832334549341747,-5.215324976911364,-3.668798740381593,-4.9221305120368,-5.067247171936049,-6.026124242983703,-5.359504581558143,-4.0792459597135124,61
-4.332939664359411,-2.94850137938932,-4.7130530398558825,-3.3024492710101487,-4.745292794791774,-5.112558644976025,-3.6727885324316802,-4.854713245138234,-4.971905165526345,-5.9108853644057975,-5.28253657915447,-4.068740317933838,62
-4.305994634474217,-2.9538523966370667,-4.600336598582096,-3.3075259325813864,-4.643595850655185,-4.97844509182695,-3.6763741497946487,-4.763818550515812,-4.8587183728919685,-5.749110802716889,-5.182773089580505,-4.060677669457917,63
-4.281795903327409,-2.9592930634105152,-4.470542267126827,-3.312508153019999,-4.532131601609973,-4.822206970511634,-3.6796418176319197,-4.656193488963436,-4.73356827304871,-5.553998473411096,-5.066958761704754,-4.054611656919537,64
-4.260217842419203,-2.964789479578427,-4.330944532548535,-3.317452957279452,-4.415787932334134,-4.653066934077578,-3.682677761104915,-4.538585121275017,-4.602336345012364,-5.3387462919825435,-4.941838244395727,-4.050095922952484,65
-4.241134823249816,-2.970307745009563,-4.18881788190567,-3.3224173703132127,-4.299452727505661,-4.480247635572278,-3.6855682053750582,-4.417740508244459,-4.470904067798719,-5.116552173925349,-4.814156186521928,-4.046684110190547,66
-4.224421217319466,-2.9758139595726827,-4.051436802256688,-3.3274584170747445,-4.188013871802551,-4.312971728043233,-3.688399375603771,-4.300406710665673,-4.345152920423568,-4.900614034733639,-4.690657236951867,-4.043929861267514,67
-4.209951396128368,-2.9812742231365466,-3.926075780660041,-3.332633122517514,-4.086359249902795,-4.16046186453794,-3.6912574969524767,-4.193330789332563,-4.230964381902702,-4.704129789901531,-4.578086044554048,-4.041386818817171,68
-4.19759973117674,-2.986654635569916,-3.8200093041741865,-3.3379985115949866,-3.9993767464843915,-4.0319406981039005,-3.694228794582597,-4.10325980503904,-4.134219931251915,-4.540297354923149,-4.483187258196981,-4.038608625473305,69
-4.1872405939647965,-2.991921296741551,-3.740511859857576,-3.3436116092606274,-3.9319542462253327,-3.936630881788609,-3.6973994936555545,-4.036940818579009,-4.060801047486995,-4.422314645292615,-4.412705526749171,-4.035148923869705,70
-4.180743988936275,-2.9972660516570544,-3.6853254097243537,-3.3496193359234163,-3.88299118857618,-3.871560823611753,-3.7007657781349166,-3.991928584203867,-4.009964112192589,-4.345230818534187,-4.364613108283194,-4.031579711677078,71
-4.179279088855985,-3.00283063656675,-3.645651575721758,-3.356044177044006,-3.8468072335656225,-3.825515406349826,-3.704236109314521,-3.959867680118856,-3.9751966924548996,-4.292608679426702,-4.330789028827583,-4.028681654499669,72
-4.1816690177057625,-3.0085059882064806,-3.6189543348078854,-3.3627565051533743,-3.821420596738844,-3.79535199518554,-3.707765128351201,-3.9386399030486516,-3.953727045542058,-4.260416614346138,-4.308838089184785,-4.026321396871568,73
