C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,time
-5.686343089489891,-4.089391963722115,-4.66601479289096,-4.301847637803327,-4.129450229037731,-4.19848459461167,-4.64351596516856,-6.450323097659665,-4.163229441847507,-3.9829099585724035,-3.8534296771265204,10
-5.625218505862146,-4.096794014728758,-4.6654950866673195,-4.34328792750815,-4.141319110842,-4.220471312476623,-4.721093219559073,-6.3213355754329905,-4.163605318610219,-3.9943903695104765,-3.854179223491326,11
-5.541172203373997,-4.10697183486289,-4.664780490609816,-4.400268325852281,-4.157638823322869,-4.2507030495409355,-4.82776194434603,-6.143977732371313,-4.1641221491589455,-4.010175934550327,-3.8552098497429386,12
-5.439934611740544,-4.119231481842639,-4.663919727176912,-4.468903805675893,-4.177296658811188,-4.287118551004763,-4.956249271930315,-5.930342148683383,-4.164744695047185,-4.02919036516651,-3.856451285909654,13
-5.32723616067689,-4.132879013386134,-4.662961518827078,-4.54530933981916,-4.199179909637808,-4.327656562068272,-5.099282334712824,-5.692521404577953,-4.165437717828433,-4.050357372833582,-3.8578332620197737,14
-5.208807279898133,-4.147220487211502,-4.6619545880187765,-4.6255999011222535,-4.2221758681335775,-4.37025582793162,-5.249588265094444,-5.442608080263771,-4.166165979056185,-4.072600669026099,-3.8592855081015958,15
-5.090378399119377,-4.16156196103687,-4.6609476572104755,-4.705890462425347,-4.245171826629346,-4.412855093794968,-5.3998941954760635,-5.1926947559495895,-4.166894240283938,-4.094843965218615,-3.8607377541834187,16
-4.977679948055722,-4.1752094925803664,-4.659989448860641,-4.782295996568614,-4.267055077455966,-4.453393104858476,-5.5429272582585725,-4.954874011844159,-4.167587263065186,-4.116010972885688,-3.862119730293541,17
-4.87644235642227,-4.1874691395601165,-4.659128685427737,-4.850931476392227,-4.286712912944286,-4.489808606322305,-5.671414585842861,-4.74123842815623,-4.168209808953426,-4.135025403501871,-3.863361166460262,18
-4.792396053934121,-4.197646959694247,-4.6584140893702335,-4.9079118747363575,-4.303032625425155,-4.520040343386616,-5.778083310629816,-4.563880585094552,-4.168726639502153,-4.150810968541721,-3.8643917927118796,19
-4.731271470306376,-4.20504901070089,-4.657894383146593,-4.94935216444118,-4.314901507229423,-4.54202706125157,-5.855660565020329,-4.434893062867877,-4.169102516264863,-4.162291379479794,-3.8651413390766933,20
