C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-4.81843504971198,-4.805014345090285,-5.056389411242255,-3.8367093448235368,-4.0376238439106205,-4.399357804754511,-4.739230709737546,-4.932211049057008,-4.3039126901534885,-4.07655672674878,-3.2124235682363635,-4.540998191109052,20
-4.792214619448182,-4.905709542190644,-5.082545218419904,-3.8454317035284835,-3.9951598778287454,-4.381635722419877,-4.806607005213655,-4.976058613259372,-4.264736989237995,-4.029917001993385,-3.186642053834191,-4.579571074858381,21
-4.773686542108661,-4.986952851340533,-5.110120160874434,-3.850150507327263,-3.9618627516450697,-4.371713176415865,-4.861497447281006,-5.014017251268642,-4.236450916931758,-3.9946893554052276,-3.1661907994354466,-4.612454562822613,22
-4.762850817693416,-5.04874427253995,-5.139114238605843,-3.850865756219876,-3.9377324653595918,-4.369590166742476,-4.903902035939602,-5.046086963084819,-4.219054473234778,-3.970873786984307,-3.151069805040131,-4.639648655001747,23
-4.759707446202448,-5.091083805788894,-5.169527451614132,-3.84757745020632,-3.922769018972313,-4.375266693399712,-4.93382077118944,-5.072267748707899,-4.212547658147056,-3.958470296730621,-3.1412790706482445,-4.661153351395784,24
-4.764256427635757,-5.113971451087364,-5.201359799899303,-3.8402855892865984,-3.916972412483231,-4.388742756387569,-4.9512536530305225,-5.092559608137885,-4.216930471668591,-3.9574788846441726,-3.136818596259786,-4.6769686520047244,25
-4.776497761993344,-5.1174072084353615,-5.234611283461354,-3.8289901734607086,-3.9203426458923487,-4.410018355706052,-4.956200681462847,-5.106962541374777,-4.232202913799382,-3.9678995507249613,-3.137688381874756,-4.6870945568285665,26
-4.796431449275207,-5.101391077832885,-5.269281902300286,-3.8136912027286525,-3.932879719199665,-4.439093491355159,-4.948661856486414,-5.115476548418575,-4.2583649845394325,-3.9897322949729865,-3.143888427493155,-4.691531065867314,27
-4.824057489481347,-5.065923059279932,-5.3053716564160975,-3.7943886770904283,-3.9545836324051793,-4.475968163334888,-4.928637178101223,-5.118101629269277,-4.295416683888739,-4.0229771173882485,-3.1554187331149817,-4.690278179120963,28
-4.859375882611764,-5.011003152776503,-5.342880545808792,-3.7710825965460373,-3.9854543855088918,-4.520642371645242,-4.896126646307275,-5.114837783926886,-4.343358011847303,-4.0676340179707475,-3.172279298740237,-4.683335896589515,29
-4.902386628666459,-4.936631358322597,-5.381808570478368,-3.7437729610954786,-4.025491978510804,-4.57311611628622,-4.851130261104569,-5.105685012391399,-4.402188968415124,-4.123702996720483,-3.1944701243689204,-4.670704218272971,30
-4.964158042423128,-4.8267898370717965,-5.430447220087248,-3.7082818963987583,-4.083312271170992,-4.645139581562847,-4.783269559375133,-5.088404961303287,-4.484059458851125,-4.204135668018963,-3.2214367200752045,-4.647380852109137,31
-5.05083918764716,-4.67257978966498,-5.49340287778122,-3.6622883611558783,-4.163701852245054,-4.74324064764458,-4.686778728275647,-5.061754101018364,-4.595719430521374,-4.316127373189245,-3.2528710359002972,-4.6105867469523485,32
-5.1550511878200895,-4.484679775333096,-5.565147883785339,-3.6085776049268365,-4.260916815226273,-4.859585858328069,-4.568576743218096,-5.027224667109653,-4.729068946586591,-4.451043702643659,-3.2891427317947497,-4.563656764177402,33
-5.269415166423452,-4.27376835330709,-5.640154578324653,-3.5499348772716273,-4.369213253607931,-4.986341757409966,-4.435582579614461,-4.986308895150172,-4.876008070207491,-4.600250246794534,-3.3306214677091135,-4.509925765159094,34
-5.38655224693878,-4.050524082817908,-5.712895301624215,-3.4891454277502496,-4.482847260883307,-5.115674888686919,-4.294715212876722,-4.940499020712945,-5.028436864544793,-4.7551125960541984,-3.37767690359394,-4.45272861127222,35
-5.49908355284761,-3.8256255230964986,-5.777842393909077,-3.4289945059226983,-4.5960749305456865,-5.239751795955581,-4.152893618416863,-4.891287279370991,-5.178255392759217,-4.90699634083498,-3.4306786993997807,-4.395400163891574,36
-5.599630207631477,-3.6097512333738075,-5.829468195404289,-3.372267361348971,-4.7031523560883475,-5.350739023012601,-4.017036771646866,-4.840165906697334,-5.317363718011481,-5.047267071549209,-3.4899965150771877,-4.341275284391953,37
-5.680813334771913,-3.413579772880782,-5.862245046334902,-3.321749243589063,-4.798335631004571,-5.440803113654629,-3.894063647978711,-4.788627138264992,-5.437661903462298,-5.167290378609212,-3.5560000105767116,-4.293688834148152,38
-5.735254057750456,-3.247789700848366,-5.870645286925969,-3.2802254022029724,-4.875880848787642,-5.502110611678317,-3.7908932228243817,-4.738163209646988,-5.531050012272394,-5.258431852427321,-3.6290588458489053,-4.255975674534967,39
-5.75557350004864,-3.12305957650751,-5.84914125740254,-3.2504810867506944,-4.93004410293084,-5.526828060880316,-3.7144444715958587,-4.690266356416342,-5.589428107602482,-5.31205708341586,-3.7095426808443186,-4.231470666927193,40
-5.738413691822443,-3.0366255131067095,-5.788009153187847,-3.2324836197241162,-4.958150968848155,-5.507992456407539,-3.6631206260691247,-4.639932527384617,-5.6103817024108675,-5.320191825929294,-3.8034808255145016,-4.221392583810193,41
-5.689561262511002,-2.975877956581555,-5.687579248542892,-3.223326440000955,-4.964672298887661,-5.449859046441379,-3.628859359025817,-4.582834190556585,-5.600969349507714,-5.287360146033241,-3.913839545439373,-4.222960146250122,42
-5.61535423452059,-2.936726965193635,-5.557405001949381,-3.2214839717199566,-4.954582101943762,-5.361421754330193,-3.6088813073864032,-4.521478360295078,-5.567300671831532,-5.223675101706764,-4.036393934012039,-4.233508138492962,43
-5.522130630257481,-2.9150825972045378,-5.407039871889022,-3.225430639019865,-4.932854386910867,-5.251674503422348,-3.6004071080713502,-4.4583720509629385,-5.515485292320833,-5.139249750928933,-4.166919084625602,-4.2503713447846945,44
-5.416228472127946,-2.9068549108758472,-5.246037316843516,-3.2336408660394227,-4.904463162683378,-5.129611217066202,-3.600657398001123,-4.396022276922998,-5.4516328339141245,-5.0441971516788104,-4.301190090673168,-4.270884549371306,45
-5.303985782538258,-2.9079539644691534,-5.083950795294572,-3.2445890769173755,-4.874382438155703,-5.004225818610118,-3.606852814096191,-4.3369360525380936,-5.381852919549916,-4.948630361935464,-4.4349820455478435,-4.292382536498776,46
-5.191740583894691,-2.914289816246043,-4.930333765723892,-3.2567496957924686,-4.8475862222222474,-4.884512231402455,-3.6162139932770168,-4.28362039217106,-5.312255172166717,-4.8626624396779565,-4.564070042642734,-4.312200090413091,47
-5.085830898603516,-2.921772524468102,-4.794739686613187,-3.2685971468034443,-4.829048523777417,-4.7794643787915785,-3.6259615724640706,-4.238582310184734,-5.248949214703037,-4.796406442885356,-4.684229175350942,-4.327671995360229,48
-4.992594749071008,-2.9263121473969185,-4.6867220164441585,-3.2786058540890473,-4.823743351715617,-4.698076184125849,-3.633316188577817,-4.204328820941952,-5.19804467009739,-4.759975429536728,-4.791234537065575,-4.336133035586179,49
-4.918370157703439,-2.9238187432940803,-4.615834213698514,-3.285250241788023,-4.836644714931254,-4.649341570753626,-3.635498478538723,-4.183366938805548,-5.165651161288281,-4.763482457611138,-4.880861221179737,-4.3349179953369195,50
-4.859202531733038,-2.9188229696099843,-4.586836966500106,-3.2898833451369573,-4.8755282984073185,-4.636539830532721,-3.6354737975808504,-4.180054098284192,-5.15334820963066,-4.817813661621335,-4.958803493456551,-4.3238605955017135,51
-4.806322111200836,-2.9180832793235756,-4.592467811307083,-3.2948389290493316,-4.939555695688307,-4.652165760652504,-3.637771867731527,-4.194211229580497,-5.1556774217188215,-4.918529278392407,-5.032606219504899,-4.305632386245424,52
-4.758844167726306,-2.9208514239892627,-4.624245479102594,-3.300062512179229,-5.020779778510894,-4.689036542458679,-3.6419598761011196,-4.22154059059822,-5.168191548350294,-5.052753519371932,-5.100820392486532,-4.281824895727445,53
-4.71588397292892,-2.926379155161455,-4.673688700869795,-3.3054996131807344,-5.111253418611746,-4.73996935729695,-3.647605009799995,-4.257744439241121,-5.186443340322609,-5.207610596007482,-5.161997005563199,-4.254029652107169,54
-4.676556798428152,-2.93391822439456,-4.732316207591833,-3.3110957507079304,-5.203029487727535,-4.797781386513021,-3.6542744559385176,-4.298525033412956,-5.205985548433293,-5.370224719746633,-5.214687051896649,-4.223838183543985,55
-4.639977915843475,-2.942720383242987,-4.791646730251859,-3.316796443414902,-5.2881608575949315,-4.8552898114525975,-3.6615354016270567,-4.33958463101748,-5.2223709234798745,-5.52772010203696,-5.257441524648634,-4.192842018197284,56
-4.60526259679436,-2.952037383261145,-4.843198999833026,-3.322547209955733,-5.358700399950606,-4.905311813461382,-3.668955033975977,-4.376625489958454,-5.231152216259884,-5.667220954326041,-5.288811416980901,-4.162632684226461,57
-4.571526112900282,-2.961120976003441,-4.878491747318484,-3.328293568984506,-5.406700986531226,-4.940664573885079,-3.6761005400956455,-4.405349868139633,-5.227882177570849,-5.775851488061444,-5.3073477220552,-4.134801709790901,58
-4.5378837357807145,-2.969222913024285,-4.889043703691384,-3.3339810391553075,-5.4242154890734655,-4.9541652740693936,-3.6825391070964284,-4.421460023464776,-5.208113558210298,-5.84073591469075,-5.31160143303328,-4.110940623050003,59
-4.503450737055129,-2.9755949458780857,-4.866373599934878,-3.3395551391222194,-5.403296779313994,-4.938631095360029,-3.6878379220886925,-4.42065821383764,-5.167399108975763,-5.8489984456615325,-5.300123543076892,-4.092640952163153,60
-4.468217878883229,-2.9808891998751297,-4.807266726242319,-3.345047059235288,-5.336037442719954,-4.890897133708079,-3.6923028078088795,-4.401625683493638,-5.100551985658213,-5.793063502869415,-5.265604002099447,-4.0792459597135124,61
-4.433097525229842,-2.986243928205448,-4.718732522812676,-3.3505306266403028,-5.226285937564691,-4.816653958061199,-3.6965525087738915,-4.368086708070771,-5.009302570277421,-5.682075101421887,-5.205484344922135,-4.068740317933838,62
-4.3985873504221225,-2.9916400742430684,-4.607625945637516,-3.356015315184965,-5.083728944794185,-4.722001959259936,-3.7006235947647874,-4.323308092576677,-4.899579452974107,-5.528236842584328,-5.1254429420683785,-4.060677669457917,63
