iso1	iso2	dist	id
C12	C10	0.22445479331630735	C12_C10
Acholeplasmataceae	C10	0.542557547381663	Acholeplasmataceae_C10
Enterobacteriaceae	C10	0.12125424731975054	Enterobacteriaceae_C10
Enterococcaceae	C10	0.542557547381663	Enterococcaceae_C10
Lachnospiraceae	C10	0.542557547381663	Lachnospiraceae_C10
Lactobacillaceae	C10	0.12125424731975054	Lactobacillaceae_C10
Sutterellaceae	C10	0.542557547381663	Sutterellaceae_C10
C12	C11	0.4257649181042117	C12_C11
Acholeplasmataceae	C11	0.542557547381663	Acholeplasmataceae_C11
Enterobacteriaceae	C11	0.4257649181042117	Enterobacteriaceae_C11
Enterococcaceae	C11	0.542557547381663	Enterococcaceae_C11
Lachnospiraceae	C11	0.542557547381663	Lachnospiraceae_C11
Lactobacillaceae	C11	0.4257649181042117	Lactobacillaceae_C11
Sutterellaceae	C11	0.542557547381663	Sutterellaceae_C11
Acholeplasmataceae	C12	0.542557547381663	Acholeplasmataceae_C12
Enterobacteriaceae	C12	0.22445479331630735	Enterobacteriaceae_C12
Enterococcaceae	C12	0.542557547381663	Enterococcaceae_C12
Lachnospiraceae	C12	0.542557547381663	Lachnospiraceae_C12
Lactobacillaceae	C12	0.22445479331630735	Lactobacillaceae_C12
Sutterellaceae	C12	0.542557547381663	Sutterellaceae_C12
Enterobacteriaceae	Acholeplasmataceae	0.542557547381663	Enterobacteriaceae_Acholeplasmataceae
Enterococcaceae	Acholeplasmataceae	0.3187824643365351	Enterococcaceae_Acholeplasmataceae
Lachnospiraceae	Acholeplasmataceae	0.3187824643365351	Lachnospiraceae_Acholeplasmataceae
Lactobacillaceae	Acholeplasmataceae	0.542557547381663	Lactobacillaceae_Acholeplasmataceae
Sutterellaceae	Acholeplasmataceae	0.5253354497502524	Sutterellaceae_Acholeplasmataceae
Enterococcaceae	Enterobacteriaceae	0.542557547381663	Enterococcaceae_Enterobacteriaceae
Lachnospiraceae	Enterobacteriaceae	0.542557547381663	Lachnospiraceae_Enterobacteriaceae
Lactobacillaceae	Enterobacteriaceae	0.08287362717129532	Lactobacillaceae_Enterobacteriaceae
Sutterellaceae	Enterobacteriaceae	0.542557547381663	Sutterellaceae_Enterobacteriaceae
Lachnospiraceae	Enterococcaceae	0.12442565773854986	Lachnospiraceae_Enterococcaceae
Lactobacillaceae	Enterococcaceae	0.542557547381663	Lactobacillaceae_Enterococcaceae
Sutterellaceae	Enterococcaceae	0.5253354497502524	Sutterellaceae_Enterococcaceae
Lactobacillaceae	Lachnospiraceae	0.542557547381663	Lactobacillaceae_Lachnospiraceae
Sutterellaceae	Lachnospiraceae	0.5253354497502524	Sutterellaceae_Lachnospiraceae
Sutterellaceae	Lactobacillaceae	0.542557547381663	Sutterellaceae_Lactobacillaceae
