C1,C2,time
-6.889845701622029,-6.665547300028323,10
-6.735308530350637,-6.479026191378699,11
-6.522819919852471,-6.222559666985465,12
-6.266867729934222,-5.913634080784521,13
-5.981939820402587,-5.569735786711773,14
-5.682524051064259,-5.208351138703122,15
-5.38310828172593,-4.846966490694472,16
-5.098180372194295,-4.503068196621726,17
-4.842228182276048,-4.194142610420787,18
-4.6297395717778835,-3.9376760860275564,19
-4.475202400506492,-3.7511549773779387,20
-4.362478650856275,-3.615011400105676,21
-4.265225236945379,-3.4973675828149946,22
-4.182622416166118,-3.397245048897517,23
-4.113850445910807,-3.3136653217448693,24
-4.058089583571762,-3.2456499247486774,25
-4.014520086541297,-3.1922203813005643,26
-3.9823222122117286,-3.1523982147921568,27
-3.96067621797537,-3.1252049486150795,28
-3.9487623612245377,-3.1096621061609566,29
-3.945760899351546,-3.104791210821414,30
-3.9508520897487105,-3.109613785988076,31
-3.9632161898083456,-3.123151355052568,32
-3.982033456922768,-3.1444254414065154,33
-4.006484148484291,-3.1724575684415424,34
-4.035748521885231,-3.2062692595492743,35
-4.069006834517902,-3.2448820381213364,36
-4.10543934377462,-3.287317427549354,37
-4.144226307047699,-3.3325969512249505,38
-4.184547981729455,-3.3797421325397528,39
-4.225584625212203,-3.4277744948853845,40
-4.266516494888258,-3.475715561653471,41
-4.306523848149936,-3.522586856235639,42
-4.3447869423895495,-3.56740990202351,43
-4.380486034999417,-3.6092062224087127,44
-4.412801383371851,-3.6469973407828693,45
-4.440913244899167,-3.6798047805376064,46
-4.46400187697368,-3.706650065064548,47
-4.4812475369877065,-3.72655471775532,48
-4.49183048233356,-3.738540262001547,49
-4.494930970403558,-3.7416282211948544,50
-4.493678806701316,-3.7393170418772703,51
-4.491859970374702,-3.7359599273940556,52
-4.4896389792824065,-3.7318605363416837,53
-4.487180351283117,-3.727322527316627,54
-4.48464860423552,-3.7226495589153576,55
-4.482208255998306,-3.7181452897343505,56
-4.480023824430163,-3.714113378370077,57
-4.478259827389781,-3.71085748341901,58
-4.477080782735846,-3.708681263477623,59
-4.476651208327048,-3.7078883771423894,60
-4.477566517383386,-3.708497599040288,61
-4.480050927679158,-3.710151201334584,62
-4.4837121639045066,-3.7125880889261778,63
-4.488157950749574,-3.715547166715971,64
-4.4929960129044995,-3.718767339604863,65
-4.4978340750594255,-3.721987512493756,66
-4.5022798619044915,-3.724946590283549,67
-4.50594109812984,-3.7273834778751427,68
-4.5084255084256135,-3.7290370801694386,69
-4.5093408174819505,-3.729646302067337,70
-4.507816438985218,-3.7301496478087235,71
-4.503678840208373,-3.7315158719639134,72
-4.497581326221443,-3.7335292549294574,73
-4.490177202094458,-3.735974077101904,74
-4.482119772897443,-3.738634618877801,75
-4.474062343700429,-3.7412951606536984,76
-4.466658219573444,-3.7437399828261446,77
-4.460560705586514,-3.745753365791688,78
-4.456423106809669,-3.747119589946879,79
-4.454898728312936,-3.747622935688265,80
-4.453590387143505,-3.748237318647744,81
-4.450039175397907,-3.749904929537759,82
-4.444805810720183,-3.7523624613756756,83
-4.438451010754376,-3.7553466071788613,84
-4.431535493144526,-3.75859405996468,85
-4.424619975534677,-3.7618415127504985,86
-4.418265175568869,-3.764825658553683,87
-4.4130318108911455,-3.7672831903916,88
-4.409480599145548,-3.7689508012816155,89
-4.4081722579761164,-3.7695651842410944,90
-4.4047811814126065,-3.7738279060612063,91
-4.395576830740221,-3.785398151001511,92
-4.382012524486179,-3.8024490382819587,93
-4.365541581177701,-3.8231536871225034,94
-4.347617319342003,-3.845685216743095,95
-4.329693057506306,-3.8682167463636876,96
-4.313222114197827,-3.888921395204232,97
-4.2996578079437855,-3.9059722824846803,98
-4.2904534572714,-3.917542527424984,99
-4.28706238070789,-3.921805249245096,100
-4.270843494183074,-3.926144314690151,101
-4.226820802187146,-3.9379217780410145,102
-4.161945256087884,-3.9552780398212337,103
-4.083167807253066,-3.976353500554358,104
-3.997439407050469,-3.999288560763933,105
-3.911711006847871,-4.022223620973509,106
-3.8329335580130532,-4.043299081706633,107
-3.768058011913791,-4.060655343486853,108
-3.7240353199178635,-4.072432806837716,109
-3.707816433393048,-4.07677187228277,110
-3.70153183617105,-4.082805027281177,111
-3.684473643711342,-4.099180733705422,112
-3.6593352548233513,-4.123313353699047,113
-3.628810068316506,-4.152617249405592,114
-3.5955914830002325,-4.1845067829685965,115
-3.5623728976839586,-4.216396316531601,116
-3.5318477111771136,-4.2457002122381455,117
-3.506709322289123,-4.269832832231771,118
-3.489651129829415,-4.286208538656017,119
-3.4833665326074175,-4.2922416936544225,120
-3.4830639194579054,-4.2963848308404335,121
-3.4822425409092306,-4.3076304889167485,122
-3.4810320883111827,-4.32420303766079,123
-3.479562253013554,-4.344326846849985,124
-3.477962726366134,-4.366226286261755,125
-3.4763631997187145,-4.388125725673526,126
-3.4748933644210855,-4.408249534862721,127
-3.473682911823038,-4.424822083606763,128
-3.472861533274363,-4.436067741683077,129
-3.4725589201248512,-4.440210878869088,130
-3.4742363440967807,-4.44401246410278,131
-3.4787893520205904,-4.454331052594229,132
-3.485499047908309,-4.469537393528997,133
-3.493646535771968,-4.488002236092643,134
-3.5025129196235962,-4.508096329470728,135
-3.511379303475225,-4.528190422848814,136
-3.5195267913388837,-4.54665526541246,137
-3.526236487226602,-4.561861606347227,138
-3.5307894951504117,-4.572180194838676,139
-3.5324669191223412,-4.575981780072368,140
-3.5314771901688986,-4.580809755125719,141
-3.5287907830095544,-4.5939142588419575,142
-3.524831867195784,-4.613226159055361,143
-3.5200246122790633,-4.636676323600208,144
-3.5147931878108665,-4.6621956203107775,145
-3.5095617633426692,-4.687714917021347,146
-3.5047545084259486,-4.711165081566194,147
-3.500795592612178,-4.7304769817795975,148
-3.498109185452834,-4.743581485495835,149
-3.4971194564993913,-4.748409460549186,150
-3.502922658073409,-4.75818620446434,151
-3.518674205202885,-4.784723080805471,152
-3.541887011498955,-4.823830056466084,153
-3.5700739905727548,-4.871317098339688,154
-3.6007480560354184,-4.922994173319784,155
-3.6314221214980833,-4.974671248299883,156
-3.6596091005718825,-5.0221582901734845,157
-3.6828219068679524,-5.061265265834098,158
-3.698573453997428,-5.08780214217523,159
-3.704376655571446,-5.097578886090383,160
-3.702222569546219,-5.1000948893168285,161
-3.6963102908812355,-5.1070005151936675,162
-3.6874647886925387,-5.117332188017156,163
-3.6765110320961742,-5.130126332083548,164
-3.664273990208185,-5.144419371689097,165
-3.651578632144616,-5.159247731130061,166
-3.63924992702151,-5.173647834702692,167
-3.628112843954915,-5.186656106703245,168
-3.618992352060871,-5.197308971427974,169
-3.612713420455425,-5.204642853173136,170
