C1,C2,C3,C4,C5,time
-6.635811117690003,-6.904155092379316,-6.691050359668013,-6.76921360774513,-6.64976446535652,10
-6.515853272408677,-6.754397165291051,-6.512240092649092,-6.620658823851392,-6.460197544091434,11
-6.350911235146853,-6.548480015544687,-6.266375975498077,-6.416395995997504,-6.199543027351938,12
-6.152231053899656,-6.300443448804745,-5.970221470747989,-6.1703521351735,-5.885572814006631,13
-5.931058776662209,-6.0243272707357525,-5.640540040931853,-5.8964542523694226,-5.536058802924121,14
-5.69864045142964,-5.734171287002234,-5.294095148582693,-5.608629358575307,-5.168772892973006,15
-5.466222126197069,-5.444015303268715,-4.947650256233533,-5.32080446478119,-4.801486983021892,16
-5.245049848959623,-5.167899125199723,-4.617968826417398,-5.046906581977113,-4.45197297193938,17
-5.046369667712427,-4.91986255845978,-4.32181432166731,-4.80086272115311,-4.138002758594074,18
-4.8814276304506015,-4.713945408713411,-4.075950204516294,-4.596599893299221,-3.8773482418545755,19
-4.761469785169275,-4.564187481625144,-3.8971399374973728,-4.448045109405483,-3.6877813205894876,20
-4.675720477289814,-4.45496672113317,-3.766589599162645,-4.339560557802409,-3.5494017526658355,21
-4.6052626622739945,-4.360769479688151,-3.6537086959459075,-4.245685259699239,-3.4298016172105426,22
-4.549130303177547,-4.28079817572331,-3.5575658322027324,-4.165611475404101,-3.32799129498206,23
-4.506357363056207,-4.21425522767187,-3.4772296122886903,-4.098531465225128,-3.2429811667388373,24
-4.475977804965706,-4.160343053967059,-3.4117686405593552,-4.043637489470449,-3.1737816132393246,25
-4.457025591961776,-4.1182640730420985,-3.360251521370296,-4.000121808448194,-3.119403015241971,26
-4.448534687100155,-4.087220703330216,-3.3217468590770873,-3.9671766824664942,-3.0788557535052288,27
-4.449539053436571,-4.066415363264633,-3.2953232580353,-3.9439943718334796,-3.051150208787547,28
-4.45907265402676,-4.055050471278574,-3.2800493226005054,-3.929767136857279,-3.0352967618473756,29
-4.476169451926453,-4.052328445805265,-3.2749936571282756,-3.923687237846024,-3.0303057934431648,30
-4.499863410191385,-4.057451705277931,-3.279224865974183,-3.924946935107845,-3.035187684333365,31
-4.529188491877287,-4.069622668129794,-3.2918115534937984,-3.9327384889508714,-3.0489528152764263,32
-4.563178660039896,-4.088043752794082,-3.311822324042695,-3.9462541596832343,-3.0706115670307996,33
-4.600867877734941,-4.1119173777040166,-3.3383257819764443,-3.9646862076130627,-3.0991743203549333,34
