C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,time
-4.470561904701063,-4.96803192158417,-5.085709043383813,-4.84509015148733,-3.8397707222836797,-5.122736196771015,-3.9095774475070426,-5.190716746030355,-3.6447175368570885,-4.655875480784691,-4.184493023587806,-3.420795380154118,-4.372669723079442,-5.235889193818974,-5.28511908322987,-4.505961464208309,-4.031082501533121,-4.44965718132834,-4.824983005087521,20
-4.4976920341400275,-4.793798629916318,-4.914397450673469,-4.730490306079713,-3.860375247731682,-4.693680168222462,-3.8181697070187717,-5.316874671839825,-3.6192220903040435,-4.913953199310749,-3.9662024966452005,-3.3679653314650224,-4.198968257172416,-4.8668694973689925,-4.857952560865997,-4.273404559553246,-3.9217876855493325,-4.225022948904993,-4.522283135371222,21
-4.5217141079024765,-4.637523715815489,-4.665557983889832,-4.564027756910986,-3.890304448929875,-4.308400017131291,-3.735782473086604,-5.425364087144072,-3.5821885584496203,-5.142616079508807,-3.770843108509085,-3.29122679358816,-4.042890988400726,-4.537526523336203,-4.477761792563046,-4.065132884021083,-3.824451185279963,-3.8987294288156025,-4.253512175312022,22
-4.542628125988414,-4.49920717928168,-4.361698735505793,-4.36075941797631,-3.9268511619507844,-3.9668957434975027,-3.6624157457105397,-5.516184991943094,-3.536966707994219,-5.341864121378867,-3.5984148591794582,-3.197520940803852,-3.9044379167643744,-4.247860271720611,-4.14454677832102,-3.881146437611823,-3.7390730007250172,-3.500290607801929,-4.01867012490993,23
-4.560434088397837,-4.37884902031489,-4.025327797994244,-4.135742203270844,-3.967308222866935,-3.669167347321096,-3.598069524890577,-5.5893373862368945,-3.4869063056382394,-5.5116973249209265,-3.448917748656319,-3.0937889473924156,-3.78360904226336,-3.9978707425222093,-3.858307518139914,-3.721445220325462,-3.6656531318844916,-3.05922047260572,-3.817756984164936,24
-4.575131995130748,-4.276449238915121,-3.6789532638280744,-3.9040330267897523,-4.008968467750852,-3.415214828602071,-3.5427438106267184,-5.644821270025471,-3.435357118082082,-5.6521156901349885,-3.3223517769396693,-2.9869719876341705,-3.6804043648976834,-3.7875579357410025,-3.6190440120197316,-3.586029232162002,-3.6041915787583876,-2.6050330099687313,-3.650772753077046,25
-4.586721846187145,-4.192007835082371,-3.345083225480179,-3.680688802528193,-4.049124732675061,-3.2050381873404286,-3.4964386029189622,-5.682636643308825,-3.385668912026148,-5.763119217021051,-3.2187169440295076,-2.8840112358094365,-3.594823884667344,-3.616921851376989,-3.426756259960472,-3.474898473121443,-3.5546883413467047,-2.1672422066327175,-3.517717431646258,26
-4.5952036415670285,-4.1255248088166425,-3.0462257754234487,-3.48076644448133,-4.085069853712087,-3.038637423536168,-3.4591539017673094,-5.7027835060869565,-3.3411914541708354,-5.844707905579114,-3.1380132499258346,-2.791847866198532,-3.5268676015723424,-3.4859624894301695,-3.2814442619621347,-3.3880529432037862,-3.517143419649444,-1.7753620493394315,-3.4185910198725726,27
-4.6005773812704,-4.077000160117933,-2.804889006130776,-3.319322866644323,-4.114096666934455,-2.9160125371892884,-3.4308897071717595,-5.705261858359864,-3.3052745112165454,-5.896881755809178,-3.0802406946286505,-2.717423053081777,-3.476535515612678,-3.3946798499005437,-3.18310801802472,-3.3254926424090296,-3.4915568136666044,-1.4589065248306283,-3.3533935177559893,28
-4.602843065297258,-4.046433888986245,-2.643581010075051,-3.2114149830123346,-4.1334980084146915,-2.837163528299791,-3.411646019132313,-5.690071700127549,-3.2812678498636783,-5.919640767711245,-3.0453992781379546,-2.6676779707394895,-3.443827626788352,-3.3430739327881125,-3.1317475281482285,-3.2872175707371745,-3.477928523398186,-1.2473896198480596,-3.3221249252965084,29
-4.602000693647604,-4.0338259954215765,-2.5848098797291668,-3.172099707580524,-4.1405667142253195,-2.8020903968676745,-3.4014228376489695,-5.657213031390011,-3.2725212368126333,-5.912984941285311,-3.0334890004537476,-2.6495537934519895,-3.4287439350993636,-3.331144738092875,-3.127362792332659,-3.273227728188221,-3.4762585488441897,-1.1703253211334803,-3.32478524249413,30
-4.601098652849611,-4.06045156584701,-2.615636478488355,-3.224452246166124,-4.130576635285311,-2.8513247743091625,-3.4101959012640544,-5.595533016291755,-3.280998424529194,-5.858534943835664,-3.067353658020056,-2.6709272030365723,-3.4485048700280885,-3.397635088387759,-3.215987158368478,-3.3073168630910805,-3.49978606727343,-1.2504522514103684,-3.395693801334265,31
-4.60183049097449,-4.138130092719814,-2.699308675120437,-3.3665519937556088,-4.10346070673386,-3.0073842336332666,-3.443507286945525,-5.498835634913059,-3.3040079340455715,-5.746080034975796,-3.1596842488613377,-2.7289407433375827,-3.5126773368425126,-3.564068773991057,-3.4231947083615,-3.402703724517371,-3.5558661771685798,-1.4679396335904933,-3.553916897364363,32
-4.60216395033679,-4.252678185091267,-2.822615070157189,-3.575962148098007,-4.063500390973827,-3.243247687229172,-3.4947065023318316,-5.37455611115759,-3.3379166849118134,-5.587873103169517,-3.2952515753482423,-2.8144343816759134,-3.6097810492210534,-3.804617246520817,-3.7182965437847466,-3.5435258135811503,-3.635672760350432,-1.7884473546980444,-3.776574975927484,33
-4.600066773251058,-4.389912452012648,-2.972344264130389,-3.8302459069423493,-4.014977150408072,-3.5318940474860656,-3.5571430550614256,-5.230129668929009,-3.3790915966779638,-5.396167036880632,-3.4588264398514212,-2.9182480853724586,-3.7283357208421264,-4.09345195759509,-4.070603766111245,-3.7139206313964785,-3.7303796986397755,-2.1776353017572165,-4.040788482366689,34
-4.593506702031848,-4.535649502535233,-3.1352848575718113,-4.10696646803766,-3.962172447439457,-3.846302226793128,-3.624166452772755,-5.07299153213098,-3.4238995888940678,-5.183214724572958,-3.635179644741519,-3.03122182174811,-3.8568610653841464,-4.404744358831921,-4.44942747681401,-3.898025679077412,-3.8311608738573995,-2.601163361792195,-4.323677862025034,35
-4.580451478993708,-4.675705945710304,-3.2982254510132343,-4.3836870291329735,-3.909367744470841,-4.1594511375395475,-3.6891262031042715,-4.910576924667168,-3.468707581110172,-4.9612690547103,-3.809081992389187,-3.1441955581237617,-3.9838767965255313,-4.712665901849359,-4.824078777366071,-4.0799784577380125,-3.929190167824096,-3.0246914218271743,-4.602363560245581,36
-4.558868846451186,-4.795898390589137,-3.447954644986434,-4.637970787977315,-3.8608445039050867,-4.444319692114509,-3.745371813694425,-4.750321070441237,-3.509882492876323,-4.742582915756469,-3.9653042851650757,-3.248009261820307,-4.0979026279446975,-4.991388038265455,-5.16386876924045,-4.243916468492338,-4.015641462360654,-3.413879368886345,-4.85396602237139,37
-4.526726546718835,-4.882043446223012,-3.5712610400231855,-4.847380942319712,-3.8208841881450537,-4.6738868029071945,-3.7862527921816644,-4.599659193356851,-3.5437912437425636,-4.539409196175275,-4.08861732543983,-3.333502900158637,-4.18745827332006,-5.215082219698255,-5.4381085539101655,-4.373977212454445,-4.081688639287864,-3.734387089993896,-5.055605693745517,38
-4.481992322111202,-4.919957721663207,-3.654933236655268,-4.989480689909198,-3.7937682595936026,-4.821131382306792,-3.805118646204441,-4.466026517317673,-3.5668007532589416,-4.3640007844305275,-4.1637919155841034,-3.3915164404596476,-4.241063446330037,-5.35791989776581,-5.616109232848245,-4.454298190738396,-4.118505580426517,-3.9518744721740218,-5.184403019711027,39
-4.422633914942838,-4.8954578259609995,-3.685759835414456,-5.041833228494797,-3.783778180653594,-4.859032342702486,-3.7953188834012046,-4.356858266227366,-3.5752779409755022,-4.228610568986037,-4.175598857968543,-3.4128898500442304,-4.247237860653042,-5.394072524086165,-5.667181907527709,-4.469016904458247,-4.117266167597402,-4.032001402450909,-5.217478445610975,40
-4.340617624108986,-4.797864181087324,-3.6365655253854787,-4.974528675775362,-3.7810683897484334,-4.777675079724971,-3.752247058856789,-4.266490847881141,-3.556357220321904,-4.125714796368869,-4.116792919263413,-3.387834092171288,-4.200654100560255,-5.312581342679453,-5.578538912313879,-4.410997184913085,-4.072494615552471,-4.025802243571016,-5.144330751945915,41
-4.233587808817836,-4.635952389861738,-3.5030381124496817,-4.791844889822608,-3.7737132430058526,-4.59957334846918,-3.680240843400671,-4.18406721959846,-3.5050009785478524,-4.03842690439085,-3.9991422118270785,-3.319825606516159,-4.110257972758044,-5.134143317064063,-5.374901512919165,-4.292724492780414,-3.990301832821249,-4.008975955182732,-4.98285287345298,42
-4.108029301853369,-4.424721832608467,-3.306260872333769,-4.522626678944865,-3.7628740793852082,-4.34634860052066,-3.5860659182882673,-4.109232429569373,-3.4293180959334593,-3.964955568442932,-3.8359375565623326,-3.219602575024389,-3.9859790245776145,-4.880413478105436,-5.081844207837231,-4.127768773241922,-3.879241741890884,-3.9841793196631583,-4.752756486830101,43
-3.9704269359995643,-4.179171889651741,-3.0673170807644508,-4.195718851450467,-3.7497122378458547,-4.039622287464958,-3.4764879647749964,-4.041631525983929,-3.3374174527588414,-3.9035094639160652,-3.6404697743719763,-3.0979031796415275,-3.837746803350178,-4.5730468566690226,-4.724941495561746,-3.929699971479301,-3.7478682652485267,-3.95406911938939,-4.473753268775216,44
-3.827265544040397,-3.914301941315778,-2.8072900134684264,-3.839966215647738,-3.7353890573471453,-3.7010158608876162,-3.358272664116273,-3.9809095570321706,-3.2374079293041085,-3.852297266201197,-3.4260296861588015,-2.9654656023131185,-3.6754908564069355,-4.233698483620257,-4.3297678745863655,-3.712088032674234,-3.6047353253813226,-3.9213021367385243,-4.165554895986252,45
-3.6850299587598454,-3.6451113679248044,-2.547262946172403,-3.48421357984501,-3.721065876848437,-3.352150772374181,-3.238185697567514,-3.926711570904149,-3.1373984058493765,-3.8095276506892803,-3.205908112825605,-2.83302802498471,-3.509140731079096,-3.884023389824586,-3.921897843404757,-3.4885029020084115,-3.4583968447764213,-3.8885351540876583,-3.8478730451611423,46
-3.5502050129418863,-3.3865995498030426,-2.308319154603082,-3.157305752350608,-3.707904035309083,-3.0146484735101935,-3.122992746384134,-3.8786826157899084,-3.0454977626747572,-3.7734092927712632,-2.9933958752751804,-2.711328629601847,-3.3486259746978635,-3.545676606147446,-3.5269059005105787,-3.2725145246635186,-3.31740674592097,-3.8584249538138895,-3.5404193929978165,47
-3.4292755393704977,-3.1537658672747177,-2.1115419144871703,-2.8880875414728653,-3.697064871688438,-2.7101304158812023,-3.019459491821551,-3.8364677398794975,-2.9698148800603645,-3.7421508678380966,-2.8017837944103263,-2.6111055981100773,-3.2038761345944455,-3.240313163454283,-3.170366544397496,-3.0776928458212454,-3.1903189513021175,-3.833628318294315,-3.262905616194209,48
-3.3287263708296604,-2.9616097006640576,-1.9780145015513748,-2.705403755520114,-3.6897097249458577,-2.4602180510727543,-2.9343516151351823,-3.799711991362965,-2.9184586382863134,-3.71396105128073,-2.644362691133839,-2.543097112454949,-3.084820758100049,-2.989588092610542,-2.877854273559176,-2.9176078106632812,-3.0856873834070138,-3.816802029906033,-3.0350433914482546,49
-3.2550423401033495,-2.8251304302952835,-1.9288201915223975,-2.638099202800679,-3.686999934040697,-2.286532830670392,-2.874434797580443,-3.7680604184303563,-2.899537917632715,-3.6870485184901147,-2.534423386348514,-2.5180413545820066,-3.00138939254588,-2.8151564244816623,-2.674943586489278,-2.805829364371312,-3.0120659647228054,-3.810602871026139,-2.8765443954578824,50
-3.209508846391889,-2.741453932290589,-1.9287117500868043,-2.638379653532114,-3.6870445702928505,-2.1825538578108716,-2.838706211812627,-3.744506948512092,-2.8997836174698515,-3.6660232675566524,-2.4682237856228126,-2.518085289507781,-2.9506672597048818,-2.7104074272931906,-2.553659433803796,-2.7384239859659574,-2.967329762905691,-3.810030748414557,-2.7811958642374397,51
-3.1861149885861466,-2.6934285582334776,-1.9284174090473365,-2.639140876946007,-3.68716572583441,-2.122236165925901,-2.8195924694864662,-3.7310829727983554,-2.9004505170277928,-3.6553040784955093,-2.4299018740770544,-2.518204541449169,-2.9207377299963277,-2.6492114032358995,-2.4830495303700406,-2.6991338502702544,-2.941427525555773,-3.8084778441831197,-2.7251045234414866,52
-3.1804011490059207,-2.6746374016401413,-1.927983643304963,-2.640262679871745,-3.6873442708430244,-2.0979151020434506,-2.814003410356533,-3.725989735118841,-2.9014333163763375,-3.652812799584776,-2.414568591941825,-2.5183802811522664,-2.9080275737209194,-2.6239449341230663,-2.4542225210586475,-2.6830424461695213,-2.931023695076061,-3.806189353736791,-2.701461284228273,53
-3.1879077099710083,-2.678663556026772,-1.927456927760653,-2.641624869138713,-3.687561075496342,-2.101926013191492,-2.818848874177401,-3.7274284793032435,-2.902626715585286,-3.656471279102547,-2.417334879447706,-2.518593679363171,-2.9089635611793567,-2.626984601767971,-2.4582870507402523,-2.685233262549073,-2.9327827138695626,-3.8034104724805355,-2.703457057756052,54
-3.204175053801206,-2.6990901149095587,-1.9268837373153738,-2.6431072515762954,-3.6877970099720105,-2.1266042463979944,-2.8310387007036413,-3.7336004491812553,-2.9039254147244344,-3.6642013653269117,-2.43331167682528,-2.5188259068279786,-2.91997246267234,-2.65070698798389,-2.4863517642854878,-2.700789788294225,-2.9433690243392863,-3.8003863958193156,-2.7242827551830713,55
-3.2247435628163106,-2.7295001718046934,-1.926310546870095,-2.644589634013878,-3.68803294444768,-2.164285148690929,-2.847482729689828,-3.7427068885825716,-2.905224113863584,-3.6739249065359645,-2.457609924305131,-2.519058134292787,-2.9374810485005707,-2.6874886745841025,-2.5295253065649903,-2.7247955122902945,-2.95944706888824,-3.797362319158096,-2.757129287667582,56
-3.24515361933612,-2.7634768202283673,-1.9257838313257845,-2.645951823280846,-3.688249749100997,-2.207304067098266,-2.865090800890534,-3.752949041336886,-2.9064175130725314,-3.6835637510077968,-2.4853405621178406,-2.519271532503691,-2.957916088964748,-2.729706243381887,-2.578916322449395,-2.7523339234225968,-2.977681289919432,-3.7945834379018404,-2.7951875663678365,57
-3.2609456056804293,-2.7946031536967704,-1.925350065583411,-2.6470736262065837,-3.6884282941096114,-2.2479963486479764,-2.8807727540603305,-3.7625281512738913,-2.9074003124210765,-3.6910397470205,-2.5116145304939934,-2.5194472722067887,-2.977704354365573,-2.769736276190521,-2.625633456809337,-2.778488510576448,-2.9947361298358692,-3.792294947455512,-2.831648502442083,58
-3.2676599041690375,-2.8164622657260945,-1.9250557245439435,-2.647834849620477,-3.688549449651171,-2.278697340368029,-2.891438428953792,-3.7696454622232842,-2.908067211979018,-3.6942747428521687,-2.53154276966417,-2.5195665241481766,-2.9932726150037463,-2.799955354823283,-2.66078535451545,-2.7983427626371644,-3.0072760310405613,-3.790742043224075,-2.8597030070485725,59
-3.260836897121741,-2.82263724983253,-1.92494728310835,-2.648115300351912,-3.6885940859033246,-2.2917423892863957,-2.8939976653254904,-3.7725022180147563,-2.908312911816154,-3.691190586780893,-2.540236219858956,-2.519610459073951,-3.0010476411799685,-2.8127400610934505,-2.67548066043837,-2.806980168490062,-3.0119654359365162,-3.7901699206124926,-2.8725419913455563,60
-3.2429073125866075,-2.8173320772054424,-1.9302618160495904,-2.6477701091005246,-3.686941048842086,-2.2932392330599507,-2.8904127313330594,-3.776834228810004,-2.9025343291367816,-3.6850638184143802,-2.541305352252922,-2.5242237021770464,-3.0040118653494376,-2.814002687039769,-2.676780117713527,-2.808143526258816,-3.010912026774795,-3.8139648022125296,-2.8756950412859044,61
-3.2198463437401803,-2.809536857081392,-1.9446869768900992,-2.646833161418186,-3.68245423396158,-2.294529588283877,-2.8849783865778487,-3.787693432579174,-2.886849604721342,-3.6798698578388898,-2.5418261202224457,-2.5367453620283045,-3.007527765971723,-2.8149336063588812,-2.6778270259947585,-2.8090107723532882,-3.0087458349065717,-3.878550909412629,-2.8792954263830253,62
-3.192511070594973,-2.800013890047363,-1.9659451086550601,-2.6454523964126357,-3.675842085716625,-2.2957997703936086,-2.878103207980008,-3.8022552648646406,-2.863735274003852,-3.674578874050345,-2.5421076873008244,-2.555198334440685,-3.0115921823540805,-2.8158265233509145,-2.6788538649303164,-2.8098181030880762,-3.0059148263850237,-3.973730435812776,-2.8834395831359783,63
-3.161758573163497,-2.789525476690338,-1.991758554369655,-2.6437757531916093,-3.6678130485620364,-2.2972360948245787,-2.8701957724596845,-3.817695161208776,-2.835667872418328,-3.6681610360446664,-2.542459217021352,-2.5776055152271473,-3.0162019538037668,-2.8169751423159957,-2.6800931141684488,-2.8108017147777753,-3.002866967263326,-4.089305575012955,-2.8882239480438208,64
-3.128445931458264,-2.7788339175973022,-2.0198496570590674,-2.6419511708628454,-3.659075566952631,-2.2990248770122195,-2.8616646569370277,-3.831188557153955,-2.805123935398788,-3.659586512817777,-2.543189872917325,-2.60198980020065,-3.0213539196280377,-2.8186731675542522,-2.681777253357407,-2.812197803736982,-3.0000502235946565,-4.215078520613149,-2.8937449576056107,65
