C1,C2,C3,C4,C5,time
-6.936366404828696,-6.671047848017946,-7.000000000000003,-6.943583730663476,-6.808043818763427,10
-6.785414113507147,-6.486752783552798,-6.812733035920495,-6.812698377620166,-6.61701714157244,11
-6.577854712940019,-6.233347069913218,-6.555240960311171,-6.632731017185615,-6.35435546043484,12
-6.3278399804387035,-5.928108369392815,-6.245080051054484,-6.41595215120763,-6.037967526337279,13
-6.0495216933146,-5.588314344285196,-5.8998065860328905,-6.174632281534025,-5.6857620902664125,14
-5.757051628879099,-5.231242656883969,-5.5369768431288415,-5.921041910012608,-5.315647903208895,15
-5.464581564443599,-4.874170969482743,-5.174147100224793,-5.667451538491191,-4.945533716151377,16
-5.186263277319495,-4.534376944375126,-4.8288736352032,-5.426131668817585,-4.593328280080514,17
-4.936248544818181,-4.229138243854722,-4.518712725946513,-5.2093528028396,-4.276940345982961,18
-4.728689144251051,-3.9757325302151427,-4.261220650337188,-5.029385442405047,-4.014278664845371,19
-4.577736852929502,-3.7914374657499934,-4.07395368625768,-4.898500089361737,-3.823251987654395,20
-4.467492021033186,-3.6569014998174536,-3.9371336839268363,-4.803723369837414,-3.6837282840178895,21
-4.372100859837834,-3.5406138018992146,-3.8186400452927316,-4.723309504002552,-3.5629751187934158,22
-4.290783938298963,-3.441613114474154,-3.7175153758316584,-4.65637038476905,-3.460000635842185,23
-4.2227618253720856,-3.3589381800211506,-3.6328022810199085,-4.602017905048809,-3.3738129790254128,24
-4.1672550900127145,-3.291627741019082,-3.5635433663337768,-4.55936395775373,-3.3034202922043128,25
-4.123484301176365,-3.2387205399468257,-3.5087812372495524,-4.5275204357957115,-3.247830719240097,26
-4.090670027818554,-3.199255319283261,-3.4675584992435304,-4.505599232086656,-3.206052403993981,27
-4.068032838894793,-3.172270821507264,-3.438917757792004,-4.492712239538463,-3.1770934903271777,28
-4.054793303360595,-3.1568057890977146,-3.4219016183712623,-4.487971351063031,-3.1599621221009,29
-4.050171990171478,-3.151898964533489,-3.415552686457602,-4.490488459572263,-3.1536664431763626,30
-4.053389468282955,-3.156589090293467,-3.418913567527312,-4.499375457978058,-3.1572145974147783,31
-4.0636663066505365,-3.1699149088565246,-3.4310268670566875,-4.513744239192316,-3.1696147286773617,32
-4.080223074229743,-3.190915162701542,-3.4509351905220207,-4.532706696126939,-3.1898749808253264,33
-4.102280339976085,-3.218628594307395,-3.4776811433996033,-4.555374721693826,-3.2170034977198854,34
-4.129058672845075,-3.2520939461529634,-3.510307331165728,-4.580860208804879,-3.250008423222252,35
-4.159778641792232,-3.290349960717124,-3.5478563592966883,-4.608275050371995,-3.2878979011936407,36
-4.193660815773068,-3.3324353804787554,-3.5893708332687755,-4.636731139307079,-3.3296800754952662,37
-4.229925763743096,-3.377388947916735,-3.633893358558282,-4.665340368522026,-3.3743630899883397,38
-4.267794054657833,-3.424249405509942,-3.6804665406415022,-4.693214630928741,-3.4209550885340763,39
-4.30648625747279,-3.472055495737253,-3.728132984994727,-4.7194658194391215,-3.468464214993689,40
-4.345222941143484,-3.5198459610775465,-3.7759352970942497,-4.7432058269650685,-3.515898613228392,41
-4.383224674625428,-3.5666595440097018,-3.822916082416364,-4.763546546418483,-3.5622664270994,42
-4.419712026874136,-3.6115349870125946,-3.8681179464373594,-4.779599870711265,-3.6065758004679243,43
-4.4539055668451235,-3.653511032565104,-3.9105834946335305,-4.790477692755315,-3.64783487719518,44
-4.485025863493904,-3.6916264231461082,-3.9493553324811703,-4.795291905462533,-3.685051801142381,45
