C1,C2,C3,C4,C5,C6,time
-6.863120163898213,-6.783926666162438,-6.9758414143876735,-7.000000000000001,-6.881693604211811,-1.5028140714668892,10
-6.716816193396771,-6.639844892351694,-6.808652097916331,-6.896698668838775,-6.681357370329916,-1.6789660612394006,11
-6.5156482339572905,-6.441732453361922,-6.578766787768236,-6.754659338492092,-6.40589504874232,-1.9211750471766031,12
-6.273332282814278,-6.203097015487877,-6.301859482362574,-6.583566508756313,-6.074088161375442,-2.212926780237325,13
-6.003584337202247,-5.937446245024319,-5.993604180118537,-6.393104679427805,-5.704718230155713,-2.537707011380392,14
-5.720120394355703,-5.658287808266003,-5.669674879455312,-6.192958350302932,-5.316566777009556,-2.8790014915646323,15
-5.436656451509162,-5.3791293715076876,-5.3457455787920845,-5.992812021178058,-4.928415323863399,-3.2202959717488726,16
-5.16690850589713,-5.113478601044129,-5.037490276548047,-5.80235019184955,-4.559045392643667,-3.5450762028919405,17
-4.924592554754118,-4.874843163170086,-4.760582971142386,-5.631257362113772,-4.2272385052767865,-3.836827935952662,18
-4.723424595314636,-4.676730724180312,-4.53069766099429,-5.489218031767088,-3.9517761836891823,-4.079036921889864,19
-4.577120624813195,-4.532648950369568,-4.3635083445229474,-5.385916700605863,-3.7514399498072803,-4.255188911662375,20
-4.47095693062782,-4.427112089891167,-4.240985537697413,-5.313831112218738,-3.6051746996347807,-4.383773719123676,21
-4.380492198605269,-4.335154300705312,-4.134103993889981,-5.2581685422671205,-3.4787100487576477,-4.494907712775755,22
-4.304866023683146,-4.256063113817099,-4.042044067624693,-5.2177077886565275,-3.3710045984757073,-4.589516475550203,23
-4.243218000799052,-4.189126060231619,-3.9639861134255976,-5.191227649292475,-3.281016950088784,-4.6685255903786125,24
-4.194687724890591,-4.133630670953967,-3.8991104858167387,-5.17750692208048,-3.2077057048967044,-4.732860640192572,25
-4.158414790895365,-4.088864476989233,-3.8465975393221603,-5.175324404926055,-3.150029464199292,-4.783447207923673,26
-4.133538793750981,-4.054115009342514,-3.805627628465909,-5.183458895734722,-3.106946829296375,-4.821210876503507,27
-4.119199328395038,-4.0286697990189,-3.775381107772027,-5.200689192411994,-3.0774164014877767,-4.847077228863664,28
-4.114535989765142,-4.011816377023487,-3.755038331764562,-5.225794092863386,-3.060396782073322,-4.861971847935734,29
-4.118688372798895,-4.002842274361365,-3.7437796549675575,-5.257552394994417,-3.054846572352838,-4.866820316651308,30
-4.130796072433901,-4.00103502203763,-3.7407854319050595,-5.294742896710603,-3.0597243736261492,-4.862548217941978,31
-4.149998683607762,-4.005682151057374,-3.745236017101111,-5.336144395917459,-3.073988787193081,-4.850081134739333,32
-4.175435801258082,-4.0160711924256915,-3.7563117650797597,-5.380535690520503,-3.0965984143534597,-4.8303446499749665,33
-4.206247020322466,-4.0314896771476745,-3.773193030365049,-5.426695578425249,-3.1265118564071095,-4.8042643465804655,34
-4.241571935738513,-4.051225136228415,-3.7950601674810227,-5.473402857537214,-3.1626877146538557,-4.772765807487423,35
-4.280550142443831,-4.0745651006730075,-3.821093530951729,-5.519436325761916,-3.2040845903935247,-4.7367746156274295,36
-4.3223212353760205,-4.100797101486546,-3.8504734753012095,-5.563574781004871,-3.249661084925942,-4.697216353932074,37
-4.366024809472686,-4.1292086696741235,-3.882380355053511,-5.6045970211715925,-3.2983757995509313,-4.655016605332949,38
-4.41080045967143,-4.15908733624083,-3.9159945247326777,-5.641281844167599,-3.3491873355683195,-4.611100952761646,39
-4.455787780909855,-4.189720632191764,-3.950496338862755,-5.672408047898407,-3.4010542942779316,-4.566394979149753,40
-4.5001263681255645,-4.220396088532015,-3.9850661519677875,-5.696754430269531,-3.4529352769795927,-4.521824267428863,41
-4.542955816256165,-4.250401236266677,-4.01888431857182,-5.713099789186491,-3.50378888497313,-4.478314400530565,42
-4.583415720239255,-4.279023606400844,-4.051131193198899,-5.720222922554798,-3.552573719558366,-4.436790961386451,43
-4.620645675012441,-4.305550729939608,-4.080987130373068,-5.716902628279972,-3.5982483820351274,-4.398179532928112,44
-4.653785275513324,-4.329270137888063,-4.107632484618373,-5.7019177042675295,-3.6397714737032403,-4.363405698087138,45
-4.681974116679509,-4.3494693612513,-4.130247610458856,-5.674046948422984,-3.6761015958625283,-4.333395039795119,46
-4.704351793448599,-4.365435931034416,-4.148012862418565,-5.632069158651854,-3.706197349812819,-4.309073140983646,47
-4.720057900758197,-4.376457378242502,-4.160108595021544,-5.574763132859654,-3.7290173368539365,-4.29136558458431,48
-4.728232033545906,-4.381821233880652,-4.165715162791837,-5.5009076689519025,-3.7435201582857065,-4.281197953528701,49
-4.7280137867493295,-4.3808150289539585,-4.164012920253493,-5.409281564834116,-3.748664415407954,-4.279495830748413,50
-4.721573090310956,-4.374747675876463,-4.156300008147188,-5.271023231359058,-3.748825859040326,-4.283385478580103,51
-4.712217626141347,-4.365934513377035,-4.145096581073066,-5.070195433099667,-3.7490603647544947,-4.289035404992558,52
-4.700793617130218,-4.355172711933012,-4.131416014344365,-4.8249634985417185,-3.749346720978326,-4.295934561365556,53
-4.688147286167279,-4.343259442021726,-4.116271683274321,-4.553492756170984,-3.749663716139684,-4.303571899078874,54
-4.675124856142245,-4.330991874120512,-4.100676963176171,-4.27394853447324,-3.7499901386664343,-4.3114363695122915,55
-4.662572549944831,-4.319167178706708,-4.085645229363153,-4.004496161934257,-3.750304776986442,-4.319016924045585,56
-4.651336590464747,-4.308582526257648,-4.072189857148505,-3.7633009670398145,-3.750586419527572,-4.325802514058534,57
-4.642263200591709,-4.300035087250666,-4.061324221845462,-3.5685282782756804,-3.750813854717688,-4.331282090930914,58
